gvkey,datacqtr
1034,1989-09-30
1034,1989-12-31
1034,1990-03-31
1034,1990-06-30
1034,1990-09-30
1034,1990-12-31
1034,1991-03-31
1034,1991-06-30
1034,1991-09-30
1034,1991-12-31
1034,1992-03-31
1034,1992-06-30
1034,1992-09-30
1034,1992-12-31
1034,1993-03-31
1034,1993-06-30
1034,1993-09-30
1034,1993-12-31
1034,1994-03-31
1034,1994-06-30
1034,1994-09-30
1034,1994-12-31
1034,1995-03-31
1034,1995-06-30
1034,1995-09-30
1034,1995-12-31
1034,1996-03-31
1034,1996-06-30
1034,1996-09-30
1034,1996-12-31
1034,1997-03-31
1034,1997-06-30
1034,1997-09-30
1034,1997-12-31
1034,1998-03-31
1034,1998-06-30
1034,1998-09-30
1034,1998-12-31
1034,1999-03-31
1034,1999-06-30
1034,1999-09-30
1034,1999-12-31
1034,2000-03-31
1034,2000-06-30
1034,2000-09-30
1034,2000-12-31
1034,2001-03-31
1034,2001-06-30
1034,2001-09-30
1034,2001-12-31
1034,2002-03-31
1034,2002-06-30
1034,2002-09-30
1034,2002-12-31
1034,2003-03-31
1034,2003-06-30
1034,2003-09-30
1034,2003-12-31
1034,2004-03-31
1034,2004-06-30
1034,2004-09-30
1034,2004-12-31
1034,2005-03-31
1034,2005-06-30
1034,2005-09-30
1034,2005-12-31
1034,2006-03-31
1034,2006-06-30
1034,2006-09-30
1034,2006-12-31
1034,2007-03-31
1034,2007-06-30
1034,2007-09-30
1036,1988-09-30
1036,1988-12-31
1036,1989-03-31
1036,1989-06-30
1036,1989-09-30
1036,1989-12-31
1036,1990-06-30
1036,1990-09-30
1036,1990-12-31
1036,1991-03-31
1036,1991-06-30
1036,1991-09-30
1036,1991-12-31
1036,1992-03-31
1036,1992-06-30
1036,1992-09-30
1036,1992-12-31
1036,1993-03-31
1036,1993-06-30
1036,1993-09-30
1036,1993-12-31
1036,1994-03-31
1036,1994-06-30
1036,1994-09-30
1036,1994-12-31
1036,1995-03-31
1036,1995-06-30
1036,1995-09-30
1036,1995-12-31
1036,1996-03-31
1036,1996-06-30
1036,1996-09-30
1036,1996-12-31
1036,1997-03-31
1036,1997-06-30
1036,1997-09-30
1036,1997-12-31
1036,1998-03-31
1036,1998-06-30
1036,1998-09-30
1036,1998-12-31
1036,1999-03-31
1036,1999-06-30
1036,1999-09-30
1036,1999-12-31
1038,1988-03-31
1038,1988-06-30
1038,1988-09-30
1038,1988-12-31
1038,1989-03-31
1038,1989-06-30
1038,1989-09-30
1038,1989-12-31
1038,1990-03-31
1038,1990-06-30
1038,1990-09-30
1038,1990-12-31
1038,1991-03-31
1038,1991-06-30
1038,1991-09-30
1038,1991-12-31
1038,1992-03-31
1038,1992-06-30
1038,1992-09-30
1038,1992-12-31
1038,1993-03-31
1038,1993-06-30
1038,1993-09-30
1038,1993-12-31
1038,1994-03-31
1038,1994-06-30
1038,1994-09-30
1038,1994-12-31
1038,1995-03-31
1038,1995-06-30
1038,1995-09-30
1038,1995-12-31
1038,1996-03-31
1038,1996-06-30
1038,1996-09-30
1038,1996-12-31
1038,1997-03-31
1038,1997-06-30
1038,1997-09-30
1038,1997-12-31
1038,1998-03-31
1038,1998-06-30
1038,1998-09-30
1038,1998-12-31
1038,1999-03-31
1038,1999-06-30
1038,1999-09-30
1038,1999-12-31
1038,2000-03-31
1038,2000-06-30
1038,2000-12-31
1038,2001-03-31
1038,2001-09-30
1038,2001-12-31
1038,2002-03-31
1038,2002-06-30
1038,2002-09-30
1038,2002-12-31
1038,2003-03-31
1038,2003-06-30
1038,2003-09-30
1045,1986-12-31
1045,1987-03-31
1045,1987-06-30
1045,1987-09-30
1045,1987-12-31
1045,1988-03-31
1045,1988-06-30
1045,1988-09-30
1045,1988-12-31
1045,1989-03-31
1045,1989-06-30
1045,1989-09-30
1045,1989-12-31
1045,1990-03-31
1045,1990-06-30
1045,1990-09-30
1045,1990-12-31
1045,1991-03-31
1045,1991-06-30
1045,1991-09-30
1045,1991-12-31
1045,1992-03-31
1045,1992-06-30
1045,1992-09-30
1045,1992-12-31
1045,1993-03-31
1045,1993-06-30
1045,1993-09-30
1045,1993-12-31
1045,1994-03-31
1045,1994-06-30
1045,1994-09-30
1045,1994-12-31
1045,1995-03-31
1045,1995-06-30
1045,1995-09-30
1045,1995-12-31
1045,1996-03-31
1045,1996-06-30
1045,1996-09-30
1045,1996-12-31
1045,1997-03-31
1045,1997-06-30
1045,1997-09-30
1045,1997-12-31
1045,1998-03-31
1045,1998-06-30
1045,1998-09-30
1045,1998-12-31
1045,1999-03-31
1045,1999-06-30
1045,1999-09-30
1045,1999-12-31
1045,2000-03-31
1045,2000-06-30
1045,2000-09-30
1045,2000-12-31
1045,2001-03-31
1045,2001-06-30
1045,2001-09-30
1045,2001-12-31
1045,2002-03-31
1045,2002-06-30
1045,2002-09-30
1045,2002-12-31
1045,2003-06-30
1045,2003-09-30
1045,2004-03-31
1045,2004-06-30
1045,2004-09-30
1045,2004-12-31
1045,2005-03-31
1045,2005-06-30
1045,2005-09-30
1045,2005-12-31
1045,2006-03-31
1045,2006-06-30
1045,2006-09-30
1045,2006-12-31
1045,2007-03-31
1045,2007-06-30
1045,2007-09-30
1045,2007-12-31
1045,2008-03-31
1045,2008-06-30
1045,2008-09-30
1045,2008-12-31
1045,2009-03-31
1045,2009-06-30
1045,2009-09-30
1045,2009-12-31
1045,2010-03-31
1045,2010-06-30
1045,2010-09-30
1045,2010-12-31
1045,2011-03-31
1045,2011-06-30
1045,2011-09-30
1045,2013-03-31
1045,2013-06-30
1045,2014-09-30
1045,2014-12-31
1045,2015-03-31
1045,2015-06-30
1045,2015-09-30
1045,2015-12-31
1045,2016-03-31
1045,2016-06-30
1045,2016-09-30
1045,2016-12-31
1045,2017-03-31
1045,2017-06-30
1045,2017-09-30
1045,2017-12-31
1045,2018-03-31
1045,2018-06-30
1045,2018-09-30
1054,1987-06-30
1054,1987-09-30
1054,1987-12-31
1054,1988-03-31
1054,1988-06-30
1054,1988-09-30
1054,1988-12-31
1054,1989-03-31
1054,1989-06-30
1054,1989-09-30
1054,1989-12-31
1054,1990-03-31
1054,1990-06-30
1054,1990-09-30
1054,1990-12-31
1054,1991-03-31
1054,1991-06-30
1054,1991-09-30
1054,1991-12-31
1054,1992-03-31
1054,1992-06-30
1054,1992-09-30
1054,1992-12-31
1054,1993-03-31
1056,1986-12-31
1056,1987-03-31
1056,1987-06-30
1056,1987-09-30
1056,1987-12-31
1056,1988-03-31
1056,1988-06-30
1056,1988-09-30
1056,1988-12-31
1056,1989-03-31
1056,1989-06-30
1056,1989-09-30
1056,1989-12-31
1056,1990-03-31
1056,1990-06-30
1056,1990-09-30
1056,1990-12-31
1056,1991-03-31
1056,1991-06-30
1056,1991-09-30
1056,1991-12-31
1056,1992-03-31
1056,1992-06-30
1056,1992-09-30
1056,1992-12-31
1056,1993-03-31
1056,1993-06-30
1056,1993-09-30
1056,1993-12-31
1056,1994-03-31
1056,1994-06-30
1056,1994-09-30
1056,1994-12-31
1056,1995-03-31
1056,1995-06-30
1056,1995-09-30
1056,1995-12-31
1056,1996-03-31
1056,1996-06-30
1056,1996-09-30
1056,1996-12-31
1056,1997-03-31
1056,1997-06-30
1056,1997-09-30
1056,1997-12-31
1056,1998-03-31
1056,1998-06-30
1056,1998-09-30
1056,1998-12-31
1056,1999-03-31
1056,1999-06-30
1056,1999-09-30
1056,2000-03-31
1056,2000-06-30
1056,2000-09-30
1056,2000-12-31
1056,2001-03-31
1056,2001-06-30
1056,2001-09-30
1056,2001-12-31
1056,2002-03-31
1056,2002-06-30
1056,2002-09-30
1056,2002-12-31
1056,2003-03-31
1056,2003-06-30
1056,2003-09-30
1056,2003-12-31
1056,2004-03-31
1056,2004-06-30
1056,2004-09-30
1056,2004-12-31
1056,2005-03-31
1056,2005-06-30
1056,2005-09-30
1056,2005-12-31
1056,2006-03-31
1078,1986-12-31
1078,1987-03-31
1078,1987-06-30
1078,1987-09-30
1078,1987-12-31
1078,1988-03-31
1078,1988-06-30
1078,1988-09-30
1078,1988-12-31
1078,1989-03-31
1078,1989-06-30
1078,1989-09-30
1078,1989-12-31
1078,1990-03-31
1078,1990-06-30
1078,1990-09-30
1078,1990-12-31
1078,1991-03-31
1078,1991-06-30
1078,1991-09-30
1078,1991-12-31
1078,1992-03-31
1078,1992-06-30
1078,1992-09-30
1078,1992-12-31
1078,1993-03-31
1078,1993-06-30
1078,1993-09-30
1078,1993-12-31
1078,1994-03-31
1078,1994-06-30
1078,1994-09-30
1078,1994-12-31
1078,1995-03-31
1078,1995-06-30
1078,1995-09-30
1078,1995-12-31
1078,1996-03-31
1078,1996-06-30
1078,1996-09-30
1078,1996-12-31
1078,1997-03-31
1078,1997-06-30
1078,1997-09-30
1078,1997-12-31
1078,1998-03-31
1078,1998-06-30
1078,1998-09-30
1078,1998-12-31
1078,1999-03-31
1078,1999-06-30
1078,1999-09-30
1078,1999-12-31
1078,2000-03-31
1078,2000-06-30
1078,2000-09-30
1078,2000-12-31
1078,2001-03-31
1078,2001-06-30
1078,2001-09-30
1078,2001-12-31
1078,2002-03-31
1078,2002-06-30
1078,2002-09-30
1078,2002-12-31
1078,2003-03-31
1078,2003-06-30
1078,2003-09-30
1078,2003-12-31
1078,2004-03-31
1078,2004-06-30
1078,2004-09-30
1078,2004-12-31
1078,2005-03-31
1078,2005-06-30
1078,2005-09-30
1078,2005-12-31
1078,2006-03-31
1078,2006-06-30
1078,2006-09-30
1078,2006-12-31
1078,2007-03-31
1078,2007-06-30
1078,2007-09-30
1078,2007-12-31
1078,2008-03-31
1078,2008-06-30
1078,2008-09-30
1078,2008-12-31
1078,2009-03-31
1078,2009-06-30
1078,2009-09-30
1078,2009-12-31
1078,2010-03-31
1078,2010-06-30
1078,2010-09-30
1078,2010-12-31
1078,2011-03-31
1078,2011-06-30
1078,2011-09-30
1078,2011-12-31
1078,2012-03-31
1078,2012-06-30
1078,2012-09-30
1078,2012-12-31
1078,2013-03-31
1078,2013-06-30
1078,2013-09-30
1078,2013-12-31
1078,2014-03-31
1078,2014-06-30
1078,2014-09-30
1078,2014-12-31
1078,2015-03-31
1078,2015-06-30
1078,2015-09-30
1078,2015-12-31
1078,2016-03-31
1078,2016-06-30
1078,2016-09-30
1078,2016-12-31
1078,2017-03-31
1078,2017-06-30
1078,2017-09-30
1078,2017-12-31
1078,2018-03-31
1078,2018-06-30
1078,2018-09-30
1081,2000-09-30
1081,2000-12-31
1081,2001-03-31
1081,2001-06-30
1081,2001-09-30
1081,2001-12-31
1081,2002-03-31
1081,2002-06-30
1081,2002-09-30
1081,2002-12-31
1081,2003-03-31
1081,2003-06-30
1081,2003-09-30
1081,2003-12-31
1081,2004-03-31
1081,2004-06-30
1081,2004-09-30
1081,2004-12-31
1081,2005-03-31
1081,2005-06-30
1081,2005-09-30
1081,2005-12-31
1081,2006-03-31
1081,2006-06-30
1081,2006-09-30
1094,1987-06-30
1094,1987-09-30
1094,1987-12-31
1094,1988-03-31
1094,1988-06-30
1094,1988-09-30
1094,1988-12-31
1094,1989-03-31
1094,1989-06-30
1094,1989-09-30
1094,1989-12-31
1094,1990-03-31
1094,1990-06-30
1094,1990-09-30
1094,1990-12-31
1094,1991-03-31
1094,1991-06-30
1094,1991-09-30
1094,1991-12-31
1094,1992-03-31
1094,1992-06-30
1094,1992-09-30
1094,1992-12-31
1094,1993-03-31
1094,1993-06-30
1094,1993-09-30
1094,1993-12-31
1094,1994-03-31
1094,1994-06-30
1094,1994-09-30
1094,1994-12-31
1094,1995-03-31
1094,1995-06-30
1094,1995-09-30
1094,1995-12-31
1094,1996-03-31
1094,1996-06-30
1094,1996-09-30
1094,1996-12-31
1094,1997-03-31
1094,1997-06-30
1094,1997-09-30
1094,1997-12-31
1094,1998-03-31
1094,1998-06-30
1094,1998-09-30
1094,1998-12-31
1094,1999-03-31
1094,1999-06-30
1094,1999-09-30
1094,1999-12-31
1094,2000-03-31
1094,2000-06-30
1094,2000-09-30
1094,2000-12-31
1094,2001-03-31
1094,2001-06-30
1094,2001-09-30
1094,2001-12-31
1094,2002-03-31
1094,2002-06-30
1094,2002-09-30
1094,2002-12-31
1094,2003-03-31
1094,2003-06-30
1094,2003-09-30
1094,2003-12-31
1094,2004-03-31
1094,2004-06-30
1094,2004-09-30
1094,2004-12-31
1094,2005-03-31
1094,2005-06-30
1094,2005-09-30
1094,2005-12-31
1094,2006-03-31
1094,2006-06-30
1094,2006-09-30
1094,2006-12-31
1094,2007-03-31
1094,2007-06-30
1094,2007-09-30
1094,2007-12-31
1094,2008-03-31
1094,2008-06-30
1094,2008-09-30
1094,2008-12-31
1094,2009-03-31
1094,2009-06-30
1094,2009-09-30
1094,2009-12-31
1094,2010-03-31
1094,2010-06-30
1094,2010-09-30
1094,2010-12-31
1094,2011-03-31
1094,2011-06-30
1094,2011-09-30
1094,2011-12-31
1094,2012-03-31
1094,2012-06-30
1094,2012-09-30
1094,2012-12-31
1094,2013-03-31
1094,2013-06-30
1094,2013-09-30
1094,2013-12-31
1094,2014-03-31
1094,2014-06-30
1094,2014-09-30
1094,2014-12-31
1094,2015-03-31
1094,2015-06-30
1094,2015-09-30
1094,2015-12-31
1094,2016-03-31
1094,2016-06-30
1094,2016-09-30
1094,2016-12-31
1094,2017-03-31
1094,2017-06-30
1094,2017-09-30
1094,2017-12-31
1095,1990-06-30
1095,1990-09-30
1095,1990-12-31
1095,1991-03-31
1095,1991-06-30
1095,1991-09-30
1095,1991-12-31
1095,1992-03-31
1095,1992-06-30
1095,1992-09-30
1095,1992-12-31
1095,1993-03-31
1095,1993-06-30
1095,1993-09-30
1095,1993-12-31
1095,1994-03-31
1095,1994-06-30
1095,1994-09-30
1095,1994-12-31
1095,1995-03-31
1095,1995-06-30
1095,1995-09-30
1095,1995-12-31
1095,1996-03-31
1095,1996-06-30
1095,1996-09-30
1095,1996-12-31
1095,1997-03-31
1095,1997-06-30
1095,1997-09-30
1095,1997-12-31
1095,1998-03-31
1095,1998-06-30
1095,1998-09-30
1095,1998-12-31
1095,1999-03-31
1095,1999-06-30
1095,1999-09-30
1095,1999-12-31
1095,2000-03-31
1095,2000-06-30
1095,2000-09-30
1095,2000-12-31
1095,2001-03-31
1098,1986-12-31
1098,1987-03-31
1098,1987-06-30
1098,1987-09-30
1098,1987-12-31
1098,1988-03-31
1098,1988-06-30
1098,1988-09-30
1098,1988-12-31
1098,1989-03-31
1098,1989-06-30
1098,1989-09-30
1098,1989-12-31
1098,1990-03-31
1098,1990-06-30
1098,1990-09-30
1098,1990-12-31
1098,1991-03-31
1098,1991-06-30
1098,1991-09-30
1098,1991-12-31
1098,1992-03-31
1098,1992-06-30
1098,1992-09-30
1098,1992-12-31
1098,1993-03-31
1098,1993-06-30
1098,1993-09-30
1098,1993-12-31
1098,1994-03-31
1098,1994-06-30
1098,1994-09-30
1098,1994-12-31
1098,1995-03-31
1115,1987-09-30
1115,1987-12-31
1115,1988-03-31
1115,1988-06-30
1115,1988-09-30
1115,1988-12-31
1115,1989-03-31
1115,1989-06-30
1115,1989-09-30
1115,1989-12-31
1115,1990-03-31
1115,1990-06-30
1115,1990-12-31
1115,1991-03-31
1115,1991-06-30
1115,1991-09-30
1115,1992-03-31
1115,1992-06-30
1115,1992-09-30
1115,1993-06-30
1115,1993-09-30
1115,1993-12-31
1115,1994-03-31
1115,1994-06-30
1115,1994-09-30
1115,1994-12-31
1115,1995-03-31
1115,1995-06-30
1115,1995-09-30
1115,1995-12-31
1115,1996-03-31
1115,1996-06-30
1115,1996-09-30
1115,1996-12-31
1115,1997-03-31
1115,1997-06-30
1115,1997-09-30
1115,1997-12-31
1115,1998-03-31
1115,1998-06-30
1115,1998-09-30
