feature_name,importance,
niq_qoq,1650,0.003008797
niq_revtq_lag03,1622,0.002957738
niq_revtq_lag02,1587,0.002893915
return,1563,0.002850151
niq_revtq,1543,0.002813681
niq_revtq_lag01,1448,0.002640447
niq_yoy,1313,0.002394273
oibdpq_yoy,1169,0.002131687
niq_yoy_lag01,1140,0.002078805
niq_qoq_lag01,1134,0.002067864
revtq_yoy,1122,0.002045982
S&P_yoy,1099,0.002004041
niq_qoq_lag02,1098,0.002002217
niq_yoy_lag02,1072,0.001954806
xoprq_revtq,998,0.001819866
niq_yoy_lag03,979,0.001785219
niq_qoq_lag03,936,0.001706808
lcoq_yoy,895,0.001632044
Short Term Market Rate,893,0.001628397
S&P_qoq,862,0.001571868
revtq_qoq,859,0.001566398
oibdpq_qoq,837,0.00152628
seqq_qoq,775,0.001413223
dpq_revtq,770,0.001404105
txtq_yoy,760,0.00138587
GDP_yoy,750,0.001367635
dpq_yoy,734,0.001338459
seqq_yoy,687,0.001252754
lcoq_qoq,674,0.001229048
revtq_qoq_lag01,651,0.001187107
oancfy_q_yoy,646,0.001177989
loq_yoy,629,0.00114699
oancfy_q_revtq,629,0.00114699
PCE_yoy,620,0.001130578
cheq_qoq_lag06,609,0.001110519
oancfy_q_yoy_lag01,606,0.001105049
revtq_yoy_lag01,606,0.001105049
GDP_qoq,586,0.001068579
oibdpq_yoy_lag01,585,0.001066755
cheq_yoy_lag03,577,0.001052167
rectq_yoy,569,0.001037579
ppentq_yoy,566,0.001032108
cheq_qoq,558,0.00101752
oibdpq_qoq_lag01,556,0.001013873
cheq_yoy_lag19,548,0.000999285
cheq_yoy_lag12,546,0.000995638
aoq_yoy_lag04,543,0.000990168
cheq_yoy_lag08,542,0.000988344
aoq_yoy_lag07,532,0.000970109
apq_yoy_lag14,530,0.000966462
oancfy_q_revtq_lag01,525,0.000957344
rectq_qoq,520,0.000948227
seqq_qoq_lag03,519,0.000946403
Central Bank Target Rate,519,0.000946403
apq_qoq,516,0.000940933
cheq_qoq_lag17,516,0.000940933
cheq_yoy_lag05,513,0.000935462
aoq_yoy,512,0.000933639
cheq_qoq_lag01,512,0.000933639
ltq_yoy,507,0.000924521
cheq_yoy_lag06,506,0.000922698
cheq_yoy_lag10,506,0.000922698
cheq_yoy_lag02,504,0.000919051
apq_yoy,502,0.000915404
cheq_qoq_lag05,502,0.000915404
cheq_yoy_lag07,502,0.000915404
lctq_qoq_lag06,497,0.000906286
PCE_qoq,497,0.000906286
revtq_qoq_lag04,495,0.000902639
Long Term Rate,493,0.000898992
aoq_yoy_lag05,492,0.000897168
lctq_atq,487,0.000888051
cheq_yoy_lag13,487,0.000888051
acoq_atq,485,0.000884404
cheq_qoq_lag14,485,0.000884404
seqq_qoq_lag02,484,0.00088258
apq_yoy_lag02,481,0.00087711
niq_yoy_lag17,481,0.00087711
xoprq_qoq,480,0.000875286
cheq_yoy,480,0.000875286
seqq_yoy_lag11,480,0.000875286
rectq_yoy_lag03,476,0.000867992
cheq_yoy_lag11,476,0.000867992
txtq_yoy_lag01,474,0.000864345
lctq_yoy,473,0.000862522
rectq_yoy_lag01,468,0.000853404
revtq_yoy_lag07,468,0.000853404
txtq_qoq,467,0.000851581
xsgaq_yoy,467,0.000851581
dpq_qoq_lag11,467,0.000851581
aoq_yoy_lag01,465,0.000847934
rectq_yoy_lag05,465,0.000847934
txtq_revtq,464,0.00084611
cheq_yoy_lag17,463,0.000844287
seqq_qoq_lag15,462,0.000842463
lcoq_yoy_lag11,460,0.000838816
lcoq_yoy_lag18,460,0.000838816
cheq_yoy_lag04,459,0.000836993
dpq_qoq_lag13,459,0.000836993
cheq_qoq_lag15,455,0.000829698
seqq_qoq_lag01,454,0.000827875
dpq_qoq_lag01,453,0.000826051
oibdpq_yoy_lag02,453,0.000826051
cheq_qoq_lag11,453,0.000826051
acoq_yoy_lag16,453,0.000826051
apq_yoy_lag03,451,0.000822404
xoprq_qoq_lag06,451,0.000822404
cheq_qoq_lag10,451,0.000822404
aoq_yoy_lag19,450,0.000820581
revtq_yoy_lag02,449,0.000818757
apq_qoq_lag12,448,0.000816934
seqq_qoq_lag12,446,0.000813287
xsgaq_qoq_lag17,446,0.000813287
rectq_qoq_lag01,445,0.000811463
lcoq_qoq_lag09,445,0.000811463
dpq_yoy_lag19,444,0.00080964
dvy_q_qoq,442,0.000805993
xoprq_yoy_lag19,441,0.000804169
revtq_qoq_lag08,440,0.000802346
seqq_yoy_lag12,440,0.000802346
apq_qoq_lag13,440,0.000802346
lcoq_yoy_lag16,440,0.000802346
apq_yoy_lag11,438,0.000798699
oancfy_q_revtq_lag02,435,0.000793228
aoq_yoy_lag06,435,0.000793228
capxy_q_yoy_lag01,433,0.000789581
cogsq_yoy_lag19,433,0.000789581
cheq_yoy_lag01,431,0.000785934
wcapq_yoy_lag12,431,0.000785934
dlcq_yoy,430,0.000784111
oancfy_q_yoy_lag02,429,0.000782287
xintq_qoq,428,0.000780464
xoprq_yoy_lag02,428,0.000780464
dpq_yoy_lag10,428,0.000780464
rectq_qoq_lag15,427,0.00077864
aoq_yoy_lag17,426,0.000776817
niq_yoy_lag05,425,0.000774993
acoq_yoy,424,0.00077317
lcoq_yoy_lag06,424,0.00077317
cheq_qoq_lag09,424,0.00077317
xintq_qoq_lag16,424,0.00077317
cheq_qoq_lag02,423,0.000771346
lctq_yoy_lag05,421,0.000767699
capxy_q_qoq_lag09,421,0.000767699
lctq_yoy_lag02,419,0.000764052
acoq_qoq_lag06,419,0.000764052
rectq_qoq_lag10,419,0.000764052
lcoq_yoy_lag17,419,0.000764052
capxy_q_yoy_lag07,418,0.000762228
cheq_qoq_lag16,418,0.000762228
rectq_yoy_lag19,418,0.000762228
revtq_yoy_lag19,418,0.000762228
xintq_qoq_lag01,417,0.000760405
xoprq_yoy_lag03,417,0.000760405
apq_yoy_lag06,417,0.000760405
lcoq_qoq_lag01,416,0.000758581
cheq_qoq_lag13,416,0.000758581
revtq_qoq_lag16,416,0.000758581
ancq_yoy,415,0.000756758
invtq_yoy,414,0.000754934
req_yoy,414,0.000754934
oibdpq_yoy_lag03,414,0.000754934
lcoq_yoy_lag09,414,0.000754934
oibdpq_yoy_lag09,412,0.000751287
revtq_qoq_lag13,412,0.000751287
xoprq_yoy,411,0.000749464
lcoq_yoy_lag04,411,0.000749464
oibdpq_yoy_lag04,411,0.000749464
ltq_qoq,410,0.00074764
aoq_yoy_lag14,410,0.00074764
apq_yoy_lag08,409,0.000745817
revtq_yoy_lag10,409,0.000745817
apq_qoq_lag07,408,0.000743993
apq_yoy_lag10,408,0.000743993
nopiq_yoy,407,0.00074217
lctq_qoq_lag03,407,0.00074217
xoprq_qoq_lag13,407,0.00074217
cheq_qoq_lag03,406,0.000740346
ltq_qoq_lag03,406,0.000740346
ltq_yoy_lag10,406,0.000740346
revtq_qoq_lag19,406,0.000740346
dpq_qoq,404,0.000736699
capxy_q_yoy_lag17,404,0.000736699
capxy_q_revtq,403,0.000734876
acoq_qoq_lag11,403,0.000734876
oibdpq_yoy_lag11,403,0.000734876
rectq_qoq_lag02,402,0.000733052
lcoq_qoq_lag19,402,0.000733052
xsgaq_yoy_lag04,401,0.000731229
lltq_yoy_lag12,401,0.000731229
lcoq_qoq_lag17,401,0.000731229
