feature_name,importance,%/Sum(importance)
niq_qoq,1650,0.301%
niq_revtq_lag03,1622,0.296%
niq_revtq_lag02,1587,0.289%
return,1563,0.285%
niq_revtq,1543,0.281%
niq_revtq_lag01,1448,0.264%
niq_yoy,1313,0.239%
oibdpq_yoy,1169,0.213%
niq_yoy_lag01,1140,0.208%
niq_qoq_lag01,1134,0.207%
revtq_yoy,1122,0.205%
S&P_yoy,1099,0.200%
niq_qoq_lag02,1098,0.200%
niq_yoy_lag02,1072,0.195%
xoprq_revtq,998,0.182%
niq_yoy_lag03,979,0.179%
niq_qoq_lag03,936,0.171%
lcoq_yoy,895,0.163%
Short Term Market Rate,893,0.163%
S&P_qoq,862,0.157%
revtq_qoq,859,0.157%
oibdpq_qoq,837,0.153%
seqq_qoq,775,0.141%
dpq_revtq,770,0.140%
txtq_yoy,760,0.139%
GDP_yoy,750,0.137%
dpq_yoy,734,0.134%
seqq_yoy,687,0.125%
lcoq_qoq,674,0.123%
revtq_qoq_lag01,651,0.119%
oancfy_q_yoy,646,0.118%
loq_yoy,629,0.115%
oancfy_q_revtq,629,0.115%
PCE_yoy,620,0.113%
cheq_qoq_lag06,609,0.111%
oancfy_q_yoy_lag01,606,0.111%
revtq_yoy_lag01,606,0.111%
GDP_qoq,586,0.107%
oibdpq_yoy_lag01,585,0.107%
cheq_yoy_lag03,577,0.105%
rectq_yoy,569,0.104%
ppentq_yoy,566,0.103%
cheq_qoq,558,0.102%
oibdpq_qoq_lag01,556,0.101%
cheq_yoy_lag19,548,0.100%
cheq_yoy_lag12,546,0.100%
aoq_yoy_lag04,543,0.099%
cheq_yoy_lag08,542,0.099%
aoq_yoy_lag07,532,0.097%
apq_yoy_lag14,530,0.097%
oancfy_q_revtq_lag01,525,0.096%
rectq_qoq,520,0.095%
seqq_qoq_lag03,519,0.095%
Central Bank Target Rate,519,0.095%
apq_qoq,516,0.094%
cheq_qoq_lag17,516,0.094%
cheq_yoy_lag05,513,0.094%
aoq_yoy,512,0.093%
cheq_qoq_lag01,512,0.093%
ltq_yoy,507,0.092%
cheq_yoy_lag06,506,0.092%
cheq_yoy_lag10,506,0.092%
cheq_yoy_lag02,504,0.092%
apq_yoy,502,0.092%
cheq_qoq_lag05,502,0.092%
cheq_yoy_lag07,502,0.092%
lctq_qoq_lag06,497,0.091%
PCE_qoq,497,0.091%
revtq_qoq_lag04,495,0.090%
Long Term Rate,493,0.090%
aoq_yoy_lag05,492,0.090%
lctq_atq,487,0.089%
cheq_yoy_lag13,487,0.089%
acoq_atq,485,0.088%
cheq_qoq_lag14,485,0.088%
seqq_qoq_lag02,484,0.088%
apq_yoy_lag02,481,0.088%
niq_yoy_lag17,481,0.088%
xoprq_qoq,480,0.088%
cheq_yoy,480,0.088%
seqq_yoy_lag11,480,0.088%
rectq_yoy_lag03,476,0.087%
cheq_yoy_lag11,476,0.087%
txtq_yoy_lag01,474,0.086%
lctq_yoy,473,0.086%
rectq_yoy_lag01,468,0.085%
revtq_yoy_lag07,468,0.085%
txtq_qoq,467,0.085%
xsgaq_yoy,467,0.085%
dpq_qoq_lag11,467,0.085%
aoq_yoy_lag01,465,0.085%
rectq_yoy_lag05,465,0.085%
txtq_revtq,464,0.085%
cheq_yoy_lag17,463,0.084%
seqq_qoq_lag15,462,0.084%
lcoq_yoy_lag11,460,0.084%
lcoq_yoy_lag18,460,0.084%
cheq_yoy_lag04,459,0.084%
dpq_qoq_lag13,459,0.084%
cheq_qoq_lag15,455,0.083%
seqq_qoq_lag01,454,0.083%
dpq_qoq_lag01,453,0.083%
oibdpq_yoy_lag02,453,0.083%
cheq_qoq_lag11,453,0.083%
acoq_yoy_lag16,453,0.083%
apq_yoy_lag03,451,0.082%
xoprq_qoq_lag06,451,0.082%
cheq_qoq_lag10,451,0.082%
aoq_yoy_lag19,450,0.082%
revtq_yoy_lag02,449,0.082%
apq_qoq_lag12,448,0.082%
seqq_qoq_lag12,446,0.081%
xsgaq_qoq_lag17,446,0.081%
rectq_qoq_lag01,445,0.081%
lcoq_qoq_lag09,445,0.081%
dpq_yoy_lag19,444,0.081%
dvy_q_qoq,442,0.081%
xoprq_yoy_lag19,441,0.080%
revtq_qoq_lag08,440,0.080%
seqq_yoy_lag12,440,0.080%
apq_qoq_lag13,440,0.080%
lcoq_yoy_lag16,440,0.080%
apq_yoy_lag11,438,0.080%
oancfy_q_revtq_lag02,435,0.079%
aoq_yoy_lag06,435,0.079%
capxy_q_yoy_lag01,433,0.079%
cogsq_yoy_lag19,433,0.079%
cheq_yoy_lag01,431,0.079%
wcapq_yoy_lag12,431,0.079%
dlcq_yoy,430,0.078%
oancfy_q_yoy_lag02,429,0.078%
xintq_qoq,428,0.078%
xoprq_yoy_lag02,428,0.078%
dpq_yoy_lag10,428,0.078%
rectq_qoq_lag15,427,0.078%
aoq_yoy_lag17,426,0.078%
niq_yoy_lag05,425,0.077%
acoq_yoy,424,0.077%
lcoq_yoy_lag06,424,0.077%
cheq_qoq_lag09,424,0.077%
xintq_qoq_lag16,424,0.077%
cheq_qoq_lag02,423,0.077%
lctq_yoy_lag05,421,0.077%
capxy_q_qoq_lag09,421,0.077%
lctq_yoy_lag02,419,0.076%
acoq_qoq_lag06,419,0.076%
rectq_qoq_lag10,419,0.076%
lcoq_yoy_lag17,419,0.076%
capxy_q_yoy_lag07,418,0.076%
cheq_qoq_lag16,418,0.076%
rectq_yoy_lag19,418,0.076%
revtq_yoy_lag19,418,0.076%
xintq_qoq_lag01,417,0.076%
xoprq_yoy_lag03,417,0.076%
apq_yoy_lag06,417,0.076%
lcoq_qoq_lag01,416,0.076%
cheq_qoq_lag13,416,0.076%
revtq_qoq_lag16,416,0.076%
ancq_yoy,415,0.076%
invtq_yoy,414,0.075%
req_yoy,414,0.075%
oibdpq_yoy_lag03,414,0.075%
lcoq_yoy_lag09,414,0.075%
oibdpq_yoy_lag09,412,0.075%
revtq_qoq_lag13,412,0.075%
xoprq_yoy,411,0.075%
lcoq_yoy_lag04,411,0.075%
oibdpq_yoy_lag04,411,0.075%
ltq_qoq,410,0.075%
aoq_yoy_lag14,410,0.075%
apq_yoy_lag08,409,0.075%
revtq_yoy_lag10,409,0.075%
apq_qoq_lag07,408,0.074%
