,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
count,chron1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron1,-0.4989110393351915,0.7361727443394832,0.5354727558511565,0.4989110393351915,0.4989110393351915,0.4989110393351915,0.4989110393351915,0.4989110393351915,0.4989110393351915,-0.6162177523090597,0.2270895600086243,0.5010889606648086,0.3167945462122844
std,chron1,0.03465053421769834,0.06440429649799838,0.030673484083324976,0.03465053421769834,0.03465053421769834,0.03465053421769834,0.03465053421769835,0.03465053421769834,0.03465053421769834,0.14663495248164482,0.0536690691037765,0.03465053421769833,0.036517441515357185
min,chron1,-0.5780535597648596,0.5783490381692649,0.4672075726842461,0.4015645371577575,0.4015645371577575,0.4015645371577575,0.4015645371577574,0.4015645371577575,0.4015645371577575,-1.2405408050402262,0.06033954615960746,0.4219464402351405,0.18884809399791735
25%,chron1,-0.5180783172436695,0.6947526191094227,0.5167235180031673,0.481759639954153,0.481759639954153,0.481759639954153,0.481759639954153,0.481759639954153,0.481759639954153,-0.6470498468606742,0.1934227588103903,0.4819216827563305,0.3002612793723608
50%,chron1,-0.5053410600668968,0.735231022707672,0.5324777222498621,0.5053410600668968,0.5053410600668968,0.5053410600668968,0.5053410600668968,0.5053410600668968,0.5053410600668968,-0.59985294414403,0.2469408111180903,0.4946589399331033,0.3280963708471067
75%,chron1,-0.481759639954153,0.7948092156874915,0.5538589855970499,0.5180783172436695,0.5180783172436695,0.5180783172436695,0.5180783172436695,0.5180783172436695,0.5180783172436695,-0.522590026740529,0.26173817034801766,0.518240360045847,0.3373494571034472
max,chron1,-0.4015645371577575,0.8337166558550058,0.6080992815153494,0.5780535597648596,0.5780535597648596,0.5780535597648596,0.5780535597648596,0.5780535597648596,0.5780535597648596,-0.4597067555851604,0.3140631978035852,0.5984354628422425,0.3719082470788457
count,chron5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron5,-0.4716785521404222,0.7312239560145264,0.4949224980145132,0.4716785521404222,0.4716785521404222,0.4716785521404222,0.4716785521404222,0.4716785521404221,0.4716785521404221,-0.6978994255203226,0.20874882805982012,0.5283214478595778,0.305847439711208
std,chron5,0.03204864014952215,0.062283130631810756,0.02007439026068526,0.03204864014952215,0.03204864014952215,0.03204864014952215,0.03204864014952215,0.03204864014952215,0.03204864014952215,0.19427206976108377,0.036549275643718855,0.03204864014952215,0.0258930740508822
min,chron5,-0.5192061459667093,0.6014708005858448,0.4406712993313229,0.35817941952506605,0.35817941952506605,0.35817941952506605,0.35817941952506605,0.35817941952506605,0.35817941952506605,-1.5085857936609959,0.11115437616850188,0.4807938540332906,0.22075052036407156
25%,chron5,-0.4925817619756962,0.6838267271929729,0.4878409175939031,0.464058340110431,0.464058340110431,0.464058340110431,0.464058340110431,0.464058340110431,0.464058340110431,-0.7170795293464038,0.18844645098712862,0.5074182380243039,0.2968597308844052
50%,chron5,-0.47748355516794727,0.7314363239236309,0.49953251865477577,0.47748355516794727,0.47748355516794727,0.47748355516794727,0.47748355516794727,0.47748355516794727,0.47748355516794727,-0.6612327401579607,0.21384328106498074,0.5225164448320527,0.31012137806398865
75%,chron5,-0.464058340110431,0.7640706496404126,0.5065671420050853,0.4925817619756962,0.4925817619756962,0.4925817619756962,0.4925817619756962,0.4925817619756962,0.4925817619756962,-0.6072983186082682,0.23251555899650347,0.535941659889569,0.3217897226515551
