,,,,,,,,,,,,,Normal fit,,,Overfit,
,chron1_train,chron1_test,chron5_train,chron5_test,chron10_train,chron10_test,shuffle1_train,shuffle1_test,shuffle5_train,shuffle5_test,shuffle10_train,shuffle10_test,max_test,max_test_idx,,max_test,max_test_idx
0,0.632358363,0.466535433,0.636040393,0.391076115,0.630831813,0.377952756,0.612361386,0.503937008,0.640161334,0.522309711,0.647268285,0.522965879,0.522965879,shuffle10_test,TRUE,0.56955381,shuffle5_test
1,0.636505984,0.495382586,0.631519545,0.360817942,0.631747163,0.348944591,0.611299252,0.560026385,0.639952153,0.565963061,0.647453942,0.569920844,0.569920844,shuffle10_test,TRUE,0.59102902,shuffle5_test
2,0.62147754,0.577400392,0.629434247,0.414761594,0.638475935,0.420640105,0.637600451,0.607446114,0.641523644,0.602220771,0.633874689,0.606139778,0.607446114,shuffle1_test,TRUE,0.62246897,shuffle1_test
3,0.642541243,0.52293578,0.59766443,0.490825688,0.621708953,0.497378768,0.634086817,0.523591088,0.633831307,0.52621232,0.647307823,0.532110092,0.532110092,shuffle10_test,TRUE,0.54521625,shuffle1_test
4,0.522098154,0.428198433,0.642504136,0.471932115,0.648237893,0.46997389,0.551304089,0.433420366,0.640038096,0.454308094,0.637100663,0.453002611,0.471932115,chron5_test,TRUE,0.49869452,shuffle5_test
5,0.615214122,0.37874837,0.648709552,0.4863103,0.637838892,0.516949153,0.649363853,0.458279009,0.63947891,0.447196871,0.647803856,0.449152542,0.516949153,chron10_test,FALSE,0.49674055,chron10_test
6,0.642713923,0.49806701,0.6546734,0.526417526,0.650737134,0.531572165,0.639799971,0.539304124,0.642722137,0.541881443,0.639776022,0.552190722,0.552190722,shuffle10_test,TRUE,0.58762887,shuffle5_test
7,0.65399711,0.546158812,0.621198118,0.504841833,0.647590463,0.535829567,0.643412287,0.556488057,0.642736235,0.569399613,0.653876169,0.561652679,0.569399613,shuffle5_test,TRUE,0.58102001,shuffle10_test
8,0.646452889,0.542416452,0.619819708,0.488431877,0.653397384,0.511568123,0.616752792,0.538560411,0.650989746,0.541773779,0.649684381,0.543059126,0.543059126,shuffle10_test,TRUE,0.58611825,shuffle1_test
9,0.65197028,0.514781491,0.653627049,0.482647815,0.642715037,0.510282776,0.649577909,0.537275064,0.640409155,0.534061697,0.64981499,0.533419023,0.537275064,shuffle1_test,TRUE,0.56298201,shuffle10_test
10,0.635064102,0.515595162,0.65767618,0.486314449,0.647186697,0.493316359,0.64390393,0.530872056,0.645068126,0.526416295,0.644050071,0.533418205,0.533418205,shuffle10_test,TRUE,0.55060471,shuffle5_test
11,0.64482985,0.488774856,0.65487361,0.470173188,0.650376393,0.464400257,0.654589464,0.494547787,0.651605743,0.506735087,0.643013241,0.497754971,0.506735087,shuffle5_test,TRUE,0.53239256,shuffle5_test
12,0.642920622,0.484964811,0.649588105,0.486884197,0.648222936,0.468330134,0.634820595,0.499680102,0.646588221,0.497120921,0.656771088,0.495841331,0.499680102,shuffle1_test,TRUE,0.54318618,shuffle5_test
13,0.636152595,0.48339719,0.643020458,0.485312899,0.635274269,0.475734355,0.646006078,0.520434227,0.65662853,0.514687101,0.65615142,0.514048531,0.520434227,shuffle1_test,TRUE,0.54214559,shuffle10_test
14,0.637283669,0.471365639,0.648859204,0.470736312,0.643647893,0.478917558,0.605997015,0.483952171,0.643475356,0.497797357,0.64311352,0.50094399,0.50094399,shuffle10_test,TRUE,0.53807426,shuffle1_test
15,0.650540832,0.481738035,0.643345535,0.471032746,0.650780933,0.478589421,0.6396439,0.502518892,0.655785104,0.505037783,0.654798535,0.497481108,0.505037783,shuffle5_test,TRUE,0.5302267,shuffle5_test
16,0.621344597,0.504385965,0.633454017,0.492481203,0.651851065,0.498746867,0.632232891,0.525689223,0.642690581,0.520050125,0.647494821,0.525062657,0.525689223,shuffle1_test,TRUE,0.55325815,shuffle10_test
