,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
count,chron1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron1,-0.4899298753918293,0.629651009570456,0.5159763489160293,0.4899298753918293,0.4899298753918293,0.4899298753918293,0.4899298753918293,0.4899298753918293,0.4899298753918293,-0.635161363266015,0.21453650544415828,0.5100701246081708,0.308987659162338
std,chron1,0.035834072631836536,0.025204685739748937,0.029842393114012718,0.035834072631836536,0.035834072631836536,0.035834072631836536,0.03583407263183654,0.035834072631836536,0.035834072631836536,0.1629154426579642,0.05090822367566377,0.03583407263183654,0.034859479474172124
min,chron1,-0.5774003919007185,0.5220981542537826,0.4455713319810683,0.378748370273794,0.378748370273794,0.378748370273794,0.3787483702737939,0.378748370273794,0.378748370273794,-1.3897213559025756,0.060012761668486576,0.4225996080992816,0.2008810035109248
25%,chron1,-0.5079657594949314,0.622653466582302,0.4984064748918363,0.478561324634026,0.478561324634026,0.478561324634026,0.478561324634026,0.478561324634026,0.478561324634026,-0.6671623769797013,0.1992717284911683,0.49203424050506855,0.3033741819189572
50%,chron1,-0.495162634750568,0.6372265334808573,0.5166598453446654,0.495162634750568,0.495162634750568,0.495162634750568,0.495162634750568,0.495162634750568,0.495162634750568,-0.6320538202102273,0.22589934270510614,0.504837365249432,0.3168719700612968
75%,chron1,-0.478561324634026,0.6438830108758505,0.5322329884329043,0.5079657594949314,0.5079657594949314,0.5079657594949314,0.5079657594949314,0.5079657594949314,0.5079657594949314,-0.5311681174905702,0.24801907765399353,0.521438675365974,0.32911410445000494
max,chron1,-0.378748370273794,0.6539971100523315,0.6048334421946441,0.5774003919007185,0.5774003919007185,0.5774003919007185,0.5774003919007185,0.5774003919007185,0.5774003919007185,-0.4471977326302445,0.29024985355233024,0.6212516297262061,0.35706785737431224
count,chron5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron5,-0.4735096781895646,0.6414981274941395,0.4898667710313089,0.4735096781895646,0.4735096781895646,0.4735096781895646,0.4735096781895646,0.4735096781895646,0.4735096781895646,-0.673468074075803,0.21063526168622176,0.5264903218104354,0.30669769334577485
