,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
count,chron1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron1,-0.5196853092870553,0.7091762130836564,0.5358969045780692,0.5196853092870553,0.5196853092870553,0.5196853092870553,0.5196853092870553,0.5196853092870553,0.5196853092870553,-0.4659657923498285,0.27189154723472786,0.4803146907129448,0.3451574324545533
std,chron1,0.035028927159113064,0.052020117667578386,0.028646504333650978,0.035028927159113064,0.035028927159113064,0.035028927159113064,0.03502892715911307,0.03502892715911307,0.03502892715911307,0.14478091439513657,0.04701458421993715,0.03502892715911308,0.030762847459210336
min,chron1,-0.582010582010582,0.6226149637413696,0.4485006518904824,0.4322033898305085,0.4322033898305085,0.4322033898305085,0.4322033898305085,0.4322033898305085,0.4322033898305085,-0.9167307303257136,0.17740393347144726,0.417989417989418,0.2682715618391716
25%,chron1,-0.548585114051201,0.6693019433218019,0.5153655201938945,0.49879165177330315,0.49879165177330315,0.49879165177330315,0.49879165177330315,0.49879165177330315,0.49879165177330315,-0.5270075545820224,0.2472196533275451,0.451414885948799,0.3289567814512949
50%,chron1,-0.5241838169203753,0.6997045658175397,0.5394539744772262,0.5241838169203753,0.5241838169203753,0.5241838169203753,0.5241838169203753,0.5241838169203753,0.5241838169203753,-0.4470992136298908,0.277568567044415,0.47581618307962475,0.35052190288440727
75%,chron1,-0.49879165177330315,0.7562169840513828,0.5554413465109214,0.548585114051201,0.548585114051201,0.548585114051201,0.548585114051201,0.548585114051201,0.548585114051201,-0.3763387553643499,0.30442723262115434,0.5012083482266969,0.36501809483789394
max,chron1,-0.4322033898305085,0.8260735566057119,0.5868830290736985,0.582010582010582,0.582010582010582,0.582010582010582,0.582010582010582,0.582010582010582,0.582010582010582,-0.23750574918731826,0.3670581222056633,0.5677966101694916,0.4049842701814431
count,chron5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron5,-0.5140261080239269,0.7201321137350731,0.5256296624939581,0.5140261080239269,0.5140261080239269,0.5140261080239269,0.5140261080239269,0.5140261080239269,0.5140261080239269,-0.44642514347502543,0.2636610935860742,0.4859738919760731,0.34051482757810103
std,chron5,0.0354253369561901,0.037396241563627586,0.01853624207959452,0.0354253369561901,0.0354253369561901,0.0354253369561901,0.0354253369561901,0.0354253369561901,0.0354253369561901,0.1475266963303828,0.047256448466574716,0.03542533695619011,0.03008158953357868
