,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
count,chron1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron1,-0.49633137210203937,0.7261764313478924,0.5300820754434182,0.49633137210203937,0.49633137210203937,0.49633137210203937,0.49633137210203937,0.49633137210203937,0.49633137210203937,-0.6183582336494953,0.22304993979430393,0.5036686278979607,0.3144870213816655
std,chron1,0.034806504634995655,0.06572813867038686,0.029732254541519832,0.034806504634995655,0.034806504634995655,0.034806504634995655,0.034806504634995655,0.034806504634995655,0.034806504634995655,0.14501820192710507,0.05188908054194126,0.03480650463499565,0.03539525894222018
min,chron1,-0.581319399085565,0.5899116472264002,0.46044624746450297,0.39374185136897,0.39374185136897,0.39374185136897,0.39374185136897,0.39374185136897,0.39374185136897,-1.2801963945099644,0.06947993636202933,0.41868060091443504,0.19660794225091768
25%,chron1,-0.5150405701186344,0.6732801024896787,0.5073937403783259,0.4826123420190357,0.4826123420190357,0.4826123420190357,0.4826123420190357,0.4826123420190357,0.4826123420190357,-0.642291761330311,0.20292628081041658,0.4849594298813656,0.3057978023786951
50%,chron1,-0.4992052920899065,0.7284404689286088,0.5285855416277389,0.4992052920899065,0.4992052920899065,0.4992052920899065,0.4992052920899065,0.4992052920899065,0.4992052920899065,-0.5943818107513661,0.23206982610401278,0.5007947079100934,0.3213807649573524
75%,chron1,-0.4826123420190357,0.7905426119682428,0.5514359259585839,0.5150405701186344,0.5150405701186344,0.5150405701186344,0.5150405701186344,0.5150405701186344,0.5150405701186344,-0.542708533330041,0.26084521924021276,0.5173876579809642,0.33533089243397796
max,chron1,-0.39374185136897,0.8087116064147867,0.6146309601567603,0.581319399085565,0.581319399085565,0.581319399085565,0.581319399085565,0.581319399085565,0.581319399085565,-0.4385294922130063,0.3006937026409732,0.60625814863103,0.3633361873761598
count,chron5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron5,-0.4721758819228091,0.7154240701948862,0.4928256706548466,0.4721758819228091,0.4721758819228091,0.4721758819228091,0.4721758819228091,0.4721758819228091,0.4721758819228091,-0.6866203994270809,0.2093456249190262,0.5278241180771909,0.3060296470854841
std,chron5,0.036560571805847264,0.05338634246071728,0.019042650651544236,0.036560571805847264,0.036560571805847264,0.036560571805847264,0.03656057180584726,0.036560571805847264,0.036560571805847264,0.21437916965614268,0.0390291860514047,0.03656057180584728,0.028636821815549263
min,chron5,-0.5112685125563425,0.6298038244940899,0.43751633986928107,0.34300791556728233,0.34300791556728233,0.34300791556728233,0.34300791556728233,0.34300791556728233,0.34300791556728233,-1.5692162660153404,0.1045497325099588,0.4887314874436575,0.2095070089239972
25%,chron5,-0.49623977325248503,0.677395086091208,0.48392799225588223,0.4646429160008596,0.4646429160008596,0.4646429160008596,0.4646429160008596,0.4646429160008596,0.4646429160008596,-0.7248648301978626,0.1934070110204419,0.5037602267475149,0.30028881481281156
50%,chron5,-0.47938498760856296,0.7126391672658318,0.49683104557131436,0.47938498760856296,0.47938498760856296,0.47938498760856296,0.47938498760856296,0.47938498760856285,0.47938498760856285,-0.6392801965420911,0.21735840728757133,0.520615012391437,0.3138816191302329
