,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
0,0.8,5.0,gbdt,0.6,1.0,5.0,0.5,255.0,multi_error,750.0,0.05,100.0,15.0,400.0,12.0,multiclass,0.75,-0.2552977090187013,0.7595977159115608,0.2581429121839898,0.2552977090187013,0.2552977090187013,0.2552977090187013,0.2552977090187013,ok
1,0.4,2.0,gbdt,0.8,1.0,5.0,0.01,300.0,multi_error,500.0,0.05,100.0,15.0,300.0,12.0,multiclass,0.66,-0.21528703950683145,0.21462725494457727,0.21596870276518182,0.21528703950683145,0.21528703950683145,0.21528703950683145,0.21528703950683145,ok
2,0.6,2.0,gbdt,0.8,1.0,0.0,0.5,255.0,multi_error,250.0,0.05,100.0,15.0,400.0,12.0,multiclass,0.7,-0.24993331555081355,0.9960087727964276,0.25760943659049823,0.24993331555081355,0.24993331555081355,0.24993331555081355,0.24993331555081355,ok
3,0.8,2.0,gbdt,0.4,1.0,1.0,0.01,200.0,multi_error,500.0,0.2,100.0,15.0,300.0,12.0,multiclass,0.7,-0.2128567618031475,0.21457785856829542,0.2108710470940399,0.2128567618031475,0.2128567618031475,0.2128567618031475,0.2128567618031475,ok
4,0.8,2.0,gbdt,0.8,1.0,0.5,0.01,255.0,multi_error,250.0,0.05,100.0,15.0,200.0,12.0,multiclass,0.66,-0.21896209359532912,0.2220268321115963,0.21753949201268485,0.21896209359532912,0.21896209359532912,0.21896209359532912,0.21896209359532912,ok
5,0.6,5.0,gbdt,0.4,1.0,5.0,1.0,255.0,multi_error,750.0,0.2,100.0,15.0,300.0,12.0,multiclass,0.66,-0.23446252333955722,0.28358459623402027,0.2323582584985626,0.23446252333955722,0.23446252333955722,0.23446252333955722,0.23446252333955722,ok
6,0.8,2.0,gbdt,0.8,1.0,5.0,0.05,255.0,multi_error,750.0,0.2,100.0,15.0,300.0,12.0,multiclass,0.75,-0.2547642334252097,0.36191736974175576,0.2538158323701135,0.2547642334252097,0.2547642334252097,0.2547642334252097,0.2547642334252097,ok
7,0.8,8.0,gbdt,0.6,0.0,1.0,0.5,255.0,multi_error,250.0,0.05,100.0,15.0,200.0,12.0,multiclass,0.66,-0.27248747814231944,0.9962755132283496,0.2750363059778904,0.27248747814231944,0.27248747814231944,0.27248747814231944,0.27248747814231944,ok
8,0.8,8.0,gbdt,0.6,0.0,0.5,1.0,255.0,multi_error,750.0,0.2,100.0,15.0,200.0,12.0,multiclass,0.75,-0.23437361074064195,0.9939044871668214,0.23452179840550072,0.23437361074064195,0.23437361074064195,0.23437361074064195,0.23437361074064195,ok
9,0.8,2.0,gbdt,0.6,0.0,5.0,1.0,200.0,multi_error,250.0,0.05,100.0,15.0,300.0,12.0,multiclass,0.7,-0.24768086304496015,0.9987650905929542,0.24762158797901662,0.24768086304496015,0.24768086304496015,0.24768086304496015,0.24768086304496015,ok
10,0.8,5.0,gbdt,0.4,0.0,0.5,0.1,255.0,multi_error,250.0,0.2,100.0,15.0,400.0,12.0,multiclass,0.75,-0.28057852464360866,0.9332951334690087,0.2794226608577102,0.28057852464360866,0.28057852464360866,0.28057852464360866,0.28057852464360866,ok
11,0.6,2.0,gbdt,0.8,0.0,5.0,0.01,255.0,multi_error,250.0,0.05,100.0,15.0,200.0,12.0,multiclass,0.66,-0.21593906523221007,0.21899389460789156,0.21528703950683145,0.21593906523221007,0.21593906523221007,0.21593906523221007,0.21593906523221007,ok
12,0.6,2.0,gbdt,0.8,0.0,5.0,1.0,300.0,multi_error,250.0,0.05,100.0,15.0,400.0,12.0,multiclass,0.66,-0.23244717109747784,0.9962656339530932,0.23582584985625796,0.23244717109747784,0.23244717109747784,0.23244717109747784,0.23244717109747784,ok
13,0.6,8.0,gbdt,0.8,0.4,1.0,1.0,200.0,multi_error,250.0,0.05,100.0,15.0,300.0,12.0,multiclass,0.7,-0.2229038854805726,0.9856355337772421,0.22684567736581607,0.2229038854805726,0.2229038854805726,0.2229038854805726,0.22290388548057258,ok
14,0.6,2.0,gbdt,0.6,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,100.0,15.0,200.0,12.0,multiclass,0.66,-0.2764885450935064,0.8142399873545276,0.2848463293915415,0.2764885450935064,0.2764885450935064,0.2764885450935064,0.2764885450935064,ok
15,0.4,8.0,gbdt,0.8,0.4,5.0,0.5,200.0,multi_error,750.0,0.4,100.0,15.0,200.0,12.0,multiclass,0.7,-0.24388725882457543,0.4025113117701685,0.24430218428618003,0.24388725882457543,0.24388725882457543,0.24388725882457543,0.24388725882457543,ok
16,0.4,8.0,gbdt,0.8,1.0,0.5,0.5,300.0,multi_error,750.0,0.2,100.0,15.0,300.0,12.0,multiclass,0.75,-0.23837467769182893,0.4333050127442651,0.24519131027533267,0.23837467769182893,0.23837467769182893,0.23837467769182893,0.23837467769182893,ok
