,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
400,0.380056077,4,gbdt,0.05,5,400,0.098029545,255,multi_error,1800,0.6,1000,3,70,12,multiclass,0.72557045,-0.512758958,0.579705993,0.518538277,0.512758958,0.512758958,0.512758958,0.512758958,ok
495,0.370615943,4,gbdt,0.05,3,400,0.089941029,127,multi_error,1800,0.6,1000,3,65,12,multiclass,0.735120823,-0.51465576,0.579083598,0.515544886,0.51465576,0.51465576,0.51465576,0.51465576,ok
427,0.37864534,4,gbdt,0.05,5,400,0.090269717,127,multi_error,1800,0.7,1000,3,55,12,multiclass,0.73811492,-0.510802881,0.57688052,0.519753416,0.510802881,0.510802881,0.510802881,0.510802881,ok
418,0.389938393,4,gbdt,0.05,3,400,0.097249019,63,multi_error,1800,1,1000,3,100,12,multiclass,0.746485649,-0.513025696,0.575695007,0.519397765,0.513025696,0.513025696,0.513025696,0.513025696,ok
475,0.388353602,4,gbdt,0.05,3,400,0.091443726,63,multi_error,2400,0.6,1000,3,75,12,multiclass,0.747545252,-0.516967488,0.571496315,0.51201802,0.516967488,0.516967488,0.516967488,0.516967488,ok
382,0.366614576,5,gbdt,0.05,3,800,0.082707311,127,multi_error,1800,0.5,1000,3,65,12,multiclass,0.747508159,-0.520197979,0.56924384,0.515129961,0.520197979,0.520197979,0.520197979,0.520197979,ok
466,0.399954471,4,gbdt,0.05,3,400,0.091859505,127,multi_error,3200,0.5,1000,3,65,12,multiclass,0.732246803,-0.516997125,0.558080259,0.512818233,0.516997125,0.516997125,0.516997125,0.516997125,ok
301,0.364162545,2,gbdt,0.05,3,540,0.079814137,127,multi_error,1800,1.2,1000,3,115,12,multiclass,0.711987862,-0.506564714,0.552370038,0.511573457,0.506564714,0.506564714,0.506564714,0.506564714,ok
307,0.34764581,5,gbdt,0.05,15,800,0.094189476,255,multi_error,1800,1,1000,3,110,12,multiclass,0.720024681,-0.514359385,0.543715793,0.512077295,0.514359385,0.514359385,0.514359385,0.514359385,ok
406,0.298914365,4,gbdt,0.05,5,400,0.080368466,255,multi_error,1800,1.8,1000,3,100,12,multiclass,0.729677381,-0.508491153,0.540445753,0.508372603,0.508491153,0.508491153,0.508491153,0.508491153,ok
486,0.374567225,3,gbdt,0.05,15,540,0.093081405,63,multi_error,3200,1,1000,3,70,12,multiclass,0.72873891,-0.512936783,0.53926024,0.509350642,0.512936783,0.512936783,0.512936783,0.512936783,ok
388,0.313057054,2,gbdt,0.05,3,800,0.089064017,127,multi_error,1800,1.8,1000,3,60,12,multiclass,0.697488923,-0.502207996,0.532216317,0.503423135,0.502207996,0.502207996,0.502207996,0.502207996,ok
312,0.218706709,2,gbdt,0.05,7,800,0.080141058,255,multi_error,2400,0.5,1000,3,95,12,multiclass,0.724308322,-0.500548294,0.529380965,0.5057645,0.500548294,0.500548294,0.500548294,0.500548294,ok
438,0.317257787,2,gbdt,0.05,3,800,0.097448868,255,multi_error,3200,1.8,1000,3,85,12,multiclass,0.716208898,-0.499955544,0.527573057,0.503156397,0.499955544,0.499955544,0.499955544,0.499955544,ok
352,0.363251972,4,gbdt,0.05,5,800,0.099627275,127,multi_error,3200,3.2,1000,3,85,12,multiclass,0.731851633,-0.509113541,0.523532434,0.505734863,0.509113541,0.509113541,0.509113541,0.509113541,ok
348,0.270777432,4,gbdt,0.05,5,800,0.078507358,255,multi_error,3200,1,1000,3,70,12,multiclass,0.695064872,-0.500133369,0.521645492,0.500400107,0.500133369,0.500133369,0.500133369,0.500133369,ok
363,0.210590322,4,gbdt,0.05,3,400,0.09213987,63,multi_error,1800,3.2,1000,3,60,12,multiclass,0.72544667,-0.501704158,0.518918812,0.500666844,0.501704158,0.501704158,0.501704158,0.501704158,ok
319,0.249109198,5,gbdt,0.05,7,800,0.087750884,127,multi_error,2400,6.4,1000,3,120,12,multiclass,0.734195423,-0.491894135,0.500572998,0.489404582,0.491894135,0.491894135,0.491894135,0.491894135,ok
491,0.357127043,4,gbdt,0.1,3,400,0.09588751,127,multi_error,1800,0.6,1000,3,65,12,multiclass,0.749939522,-0.524169408,0.59897058,0.52173913,0.524169408,0.524169408,0.524169408,0.524169408,ok
412,0.398343727,4,gbdt,0.1,3,400,0.093358044,127,multi_error,1800,0.6,1000,3,50,12,multiclass,0.677427013,-0.511662369,0.59009899,0.515841261,0.511662369,0.511662369,0.511662369,0.511662369,ok
434,0.39968756,4,gbdt,0.1,5,400,0.099904806,127,multi_error,2400,0.5,1000,3,95,12,multiclass,0.734883438,-0.522983907,0.589684061,0.519516315,0.522983907,0.522983907,0.522983907,0.522983907,ok
398,0.363763319,4,gbdt,0.1,5,400,0.086332752,255,multi_error,1800,0.6,1000,3,85,12,multiclass,0.719337546,-0.519842328,0.58901227,0.515041048,0.519842328,0.519842328,0.519842328,0.519842328,ok
304,0.390066692,4,gbdt,0.1,3,540,0.08381797,255,multi_error,1800,0.6,1000,3,60,12,multiclass,0.711372605,-0.515870899,0.586275711,0.513796272,0.515870899,0.515870899,0.515870899,0.515870899,ok
350,0.306657534,2,gbdt,0.1,3,270,0.086873411,255,multi_error,1800,0.7,1000,3,105,12,multiclass,0.721431781,-0.518834652,0.584280097,0.514211197,0.518834652,0.518834652,0.518834652,0.518834652,ok
315,0.331353263,4,gbdt,0.1,3,400,0.095385352,127,multi_error,1800,0.7,1000,3,120,12,multiclass,0.720257175,-0.518953202,0.582422793,0.519279215,0.518953202,0.518953202,0.518953202,0.518953202,ok
322,0.378706271,5,gbdt,0.1,3,540,0.07566136,127,multi_error,1800,0.7,1000,3,100,12,multiclass,0.73930028,-0.518597552,0.581148367,0.513322071,0.518597552,0.518597552,0.518597552,0.518597552,ok
377,0.379750446,2,gbdt,0.1,3,800,0.089336654,127,multi_error,1800,0.6,1000,3,60,12,multiclass,0.739487382,-0.518093714,0.581089091,0.517945526,0.518093714,0.518093714,0.518093714,0.518093714,ok
361,0.287391755,4,gbdt,0.1,3,400,0.090597341,63,multi_error,1800,0.6,1000,3,90,12,multiclass,0.73616019,-0.512047657,0.574539132,0.518241902,0.512047657,0.512047657,0.512047657,0.512047657,ok
424,0.34437829,2,gbdt,0.1,3,800,0.07906622,63,multi_error,1800,0.6,1000,3,50,12,multiclass,0.708066732,-0.512195845,0.562091245,0.520049791,0.512195845,0.512195845,0.512195845,0.512195845,ok
444,0.304087033,5,gbdt,0.1,5,270,0.095233244,255,multi_error,3200,0.6,1000,3,60,12,multiclass,0.743041458,-0.513914822,0.557714726,0.514477935,0.513914822,0.513914822,0.513914822,0.513914822,ok
481,0.248999489,4,gbdt,0.1,3,400,0.089883806,127,multi_error,2400,0.6,1000,3,60,12,multiclass,0.718774455,-0.513173883,0.55002865,0.510150855,0.513173883,0.513173883,0.513173883,0.513173883,ok
472,0.372617758,4,gbdt,0.1,3,400,0.092269228,127,multi_error,1800,1.8,1000,3,85,12,multiclass,0.702199223,-0.511929107,0.547756417,0.515218873,0.511929107,0.511929107,0.511929107,0.511929107,ok
384,0.386454052,5,gbdt,0.1,5,800,0.093286109,255,multi_error,3200,0.6,1000,3,55,12,multiclass,0.670432684,-0.507187102,0.544348067,0.501733796,0.507187102,0.507187102,0.507187102,0.507187102,ok
321,0.335837678,3,gbdt,0.1,3,400,0.09432286,63,multi_error,1800,3.2,1000,3,125,12,multiclass,0.745390067,-0.509498829,0.541344767,0.514122284,0.509498829,0.509498829,0.509498829,0.509498829,ok
404,0.338245659,4,gbdt,0.1,15,400,0.084460517,255,multi_error,1800,6.4,1000,3,85,12,multiclass,0.74329548,-0.500192644,0.517733299,0.499985181,0.500192644,0.500192644,0.500192644,0.500192644,ok
314,0.360066789,2,gbdt,0.1,15,270,0.080813612,255,multi_error,3200,6.4,1000,3,105,12,multiclass,0.731980372,-0.498829317,0.513257987,0.499629531,0.498829317,0.498829317,0.498829317,0.498829317,ok
411,0.382040732,4,gbdt,0.2,3,400,0.087461733,255,multi_error,1800,0.5,1000,3,55,12,multiclass,0.740158658,-0.523991583,0.614678627,0.51921994,0.523991583,0.523991583,0.523991583,0.523991583,ok
423,0.362917014,4,gbdt,0.2,5,270,0.088065398,127,multi_error,1800,0.6,1000,3,70,12,multiclass,0.736774459,-0.525503097,0.597133034,0.521472393,0.525503097,0.525503097,0.525503097,0.525503097,ok
313,0.383420016,4,gbdt,0.2,3,400,0.087765874,127,multi_error,1800,0.6,1000,3,65,12,multiclass,0.674480559,-0.514952135,0.596698346,0.518953202,0.514952135,0.514952135,0.514952135,0.514952135,ok
490,0.366358357,4,gbdt,0.2,7,400,0.0916955,127,multi_error,1800,0.5,1000,3,60,12,multiclass,0.681708522,-0.510269405,0.593843236,0.508402241,0.510269405,0.510269405,0.510269405,0.510269405,ok
403,0.386610447,4,gbdt,0.2,5,540,0.094176995,255,multi_error,2400,0.6,1000,3,90,12,multiclass,0.732321928,-0.520494354,0.590158266,0.52366557,0.520494354,0.520494354,0.520494354,0.520494354,ok
378,0.395372455,2,gbdt,0.2,3,800,0.09174822,127,multi_error,1800,1.2,1000,3,50,12,multiclass,0.738000724,-0.518034439,0.582778447,0.520168341,0.518034439,0.518034439,0.518034439,0.518034439,ok
397,0.376424964,3,gbdt,0.2,5,540,0.0993431,255,multi_error,2400,1,1000,3,95,12,multiclass,0.747576398,-0.519131028,0.581721365,0.519664503,0.519131028,0.519131028,0.519131028,0.519131028,ok
