,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
0,0.8,8.0,gbdt,0.8,0.0,1.0,1.0,255.0,multi_error,250.0,0.05,100.0,3.0,400.0,12.0,multiclass,573.0,-0.5297189371832284,0.9976065225460456,0.5236723879737357,0.5297189371832284,0.5297189371832284,0.5297189371832284,0.5297189371832284,ok
1,0.8,8.0,gbdt,0.8,0.0,1.0,0.0001,255.0,multi_error,250.0,0.05,10.0,3.0,400.0,12.0,multiclass,573.0,-0.33378129319612965,0.33433168221787046,0.3298775102714741,0.33378129319612965,0.33378129319612965,0.33378129319612965,0.33378129319612965,ok
2,0.8,8.0,gbdt,0.8,0.0,1.0,0.0001,255.0,multi_error,250.0,0.05,10.0,3.0,400.0,12.0,multiclass,573.0,-0.3319382583320534,0.3342804848391762,0.33191260607456896,0.3319382583320534,0.3319382583320534,0.3319382583320534,0.3319382583320534,ok
3,0.8,8.0,gbdt,0.8,0.0,1.0,0.001,255.0,multi_error,250.0,0.05,1000.0,3.0,400.0,12.0,multiclass,573.0,-0.5263016433727538,0.6760101882783601,0.527243405137657,0.5263016433727538,0.5263016433727538,0.5263016433727538,0.5263016433727538,ok
4,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,255.0,multi_error,250.0,0.05,10.0,3.0,400.0,12.0,multiclass,573.0,-0.502726155736446,0.6276030667229838,0.5039357984871174,0.502726155736446,0.502726155736446,0.502726155736446,0.502726155736446,ok
5,0.8,8.0,gbdt,0.8,0.0,1.0,1.0,255.0,multi_error,250.0,0.05,10.0,3.0,400.0,12.0,multiclass,573.0,-0.48172323759791125,0.7483776830626272,0.48861498291287486,0.48172323759791125,0.48172323759791125,0.48172323759791125,0.48172323759791125,ok
6,0.8,8.0,gbdt,0.8,0.0,1.0,1.0,255.0,multi_error,250.0,0.05,10.0,3.0,400.0,12.0,multiclass,573.0,-0.4863308247581017,0.7487744627475074,0.4928771646891679,0.4863308247581017,0.4863308247581017,0.4863308247581017,0.4863308247581017,ok
7,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,255.0,multi_error,250.0,0.05,100.0,3.0,400.0,12.0,multiclass,573.0,-0.553409614498541,0.9053232474497306,0.5614944514840841,0.553409614498541,0.553409614498541,0.553409614498541,0.553409614498541,ok
8,0.8,8.0,gbdt,0.8,0.0,1.0,1.0,255.0,multi_error,250.0,0.05,10.0,3.0,400.0,12.0,multiclass,573.0,-0.48387344493933343,0.7487360647134866,0.48734784779019313,0.48387344493933343,0.48387344493933343,0.48387344493933343,0.48387344493933343,ok
9,0.8,8.0,gbdt,0.8,0.0,1.0,0.001,255.0,multi_error,250.0,0.05,1000.0,3.0,400.0,12.0,multiclass,573.0,-0.5182383658424206,0.6637740147704437,0.5171447221902239,0.5182383658424206,0.5182383658424206,0.5182383658424206,0.5182383658424206,ok
10,0.8,8.0,gbdt,0.8,0.0,1.0,1.0,255.0,multi_error,250.0,0.05,100.0,3.0,400.0,12.0,multiclass,573.0,-0.5196974351098141,0.9974657297546365,0.5294320930768345,0.5196974351098141,0.5196974351098141,0.5196974351098141,0.5196974351098141,ok
11,0.8,8.0,gbdt,0.8,0.0,1.0,0.001,255.0,multi_error,250.0,0.05,1000.0,3.0,400.0,12.0,multiclass,573.0,-0.5216940562125634,0.666026699432989,0.5215604961025996,0.5216940562125634,0.5216940562125634,0.5216940562125634,0.5216940562125634,ok
12,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,255.0,multi_error,250.0,0.05,1000.0,3.0,400.0,12.0,multiclass,573.0,-0.6050529872523422,0.9997568124512025,0.6071497139346466,0.6050529872523422,0.6050529872523422,0.6050529872523422,0.6050529872523422,ok
13,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,255.0,multi_error,250.0,0.05,1000.0,3.0,400.0,12.0,multiclass,573.0,-0.6081247120258025,0.9997696117958761,0.6049994240294897,0.6081247120258025,0.6081247120258025,0.6081247120258025,0.6081247120258025,ok
14,0.8,8.0,gbdt,0.8,0.0,1.0,0.001,255.0,multi_error,250.0,0.05,100.0,3.0,400.0,12.0,multiclass,573.0,-0.4979649823375826,0.6228289111597486,0.5010943439695887,0.4979649823375826,0.4979649823375826,0.4979649823375826,0.4979649823375826,ok
15,0.8,8.0,gbdt,0.8,0.0,1.0,0.01,255.0,multi_error,250.0,0.05,100.0,3.0,400.0,12.0,multiclass,573.0,-0.5253801259407157,0.6586414775563492,0.5221748646469301,0.5253801259407157,0.5253801259407157,0.5253801259407157,0.5253801259407157,ok
16,0.8,8.0,gbdt,0.8,0.0,1.0,0.001,255.0,multi_error,250.0,0.05,10.0,3.0,400.0,12.0,multiclass,573.0,-0.461104285056059,0.5473255769304611,0.4537879660561379,0.461104285056059,0.461104285056059,0.461104285056059,0.461104285056059,ok
17,0.8,8.0,gbdt,0.8,0.0,1.0,0.0001,255.0,multi_error,250.0,0.05,10.0,3.0,400.0,12.0,multiclass,573.0,-0.33236062048840426,0.3339605012223374,0.33241178051683756,0.33236062048840426,0.33236062048840426,0.33236062048840426,0.33236062048840426,ok
18,0.8,8.0,gbdt,0.8,0.0,1.0,0.01,255.0,multi_error,250.0,0.05,10.0,3.0,400.0,12.0,multiclass,573.0,-0.48740592842881275,0.5819222055830742,0.47790193142111126,0.48740592842881275,0.48740592842881275,0.48740592842881275,0.48740592842881275,ok
19,0.8,8.0,gbdt,0.8,0.0,1.0,1.0,255.0,multi_error,250.0,0.05,10.0,3.0,400.0,12.0,multiclass,573.0,-0.4846029795730303,0.7465857748083298,0.4904196905118458,0.4846029795730303,0.4846029795730303,0.4846029795730303,0.4846029795730303,ok
