,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
29,0.8,5,gbdt,0.6,1,0,0.05,200,multi_error,500,0.05,1000,3,300,12,multiclass,573,-0.565542927,0.994905861,0.563606343,0.565542927,0.565542927,0.565542927,0.565542927,ok
34,0.8,5,gbdt,0.6,1,0,0.05,200,multi_error,500,0.2,1000,3,300,12,multiclass,573,-0.564391031,0.994995456,0.562876781,0.564391031,0.564391031,0.564391031,0.564391031,ok
28,0.8,5,gbdt,0.6,1,1,0.05,200,multi_error,500,0.05,1000,3,300,12,multiclass,573,-0.564275841,0.994688272,0.56191683,0.564275841,0.564275841,0.564275841,0.564275841,ok
30,0.8,5,gbdt,0.6,1,0,0.05,200,multi_error,500,0.2,1000,3,300,12,multiclass,709,-0.564045462,0.996313789,0.566332604,0.564045462,0.564045462,0.564045462,0.564045462,ok
37,0.8,2,gbdt,0.8,1,0,0.05,255,multi_error,500,0.2,1000,3,200,12,multiclass,573,-0.563738289,0.996108999,0.569826825,0.563738289,0.563738289,0.563738289,0.563738289,ok
49,0.8,5,gbdt,0.6,1,0.5,0.05,300,multi_error,500,0.4,1000,3,300,12,multiclass,475,-0.562931961,0.988646981,0.561494451,0.562931961,0.562931961,0.562931961,0.562931961,ok
23,0.8,5,dart,0.6,0,1,0.5,200,multi_error,500,0.05,1000,3,300,12,multiclass,573,-0.561012133,0.999897605,0.552778098,0.561012133,0.561012133,0.561012133,0.561012133,ok
21,0.8,5,dart,0.6,0,1,0.5,200,multi_error,500,0.05,1000,3,300,12,multiclass,573,-0.559130702,0.999859207,0.554390815,0.559130702,0.559130702,0.559130702,0.559130702,ok
32,0.8,5,gbdt,0.6,1,0,0.05,200,multi_error,500,0.05,1000,3,300,12,multiclass,709,-0.559092305,0.995878611,0.563375955,0.559092305,0.559092305,0.559092305,0.559092305,ok
33,0.8,5,gbdt,0.6,1,0,0.05,300,multi_error,500,0.05,1000,3,300,12,multiclass,573,-0.558900323,0.995021055,0.564297508,0.558900323,0.558900323,0.558900323,0.558900323,ok
46,0.6,8,gbdt,0.6,0.4,0.5,0.1,200,multi_error,500,0.2,1000,3,300,12,multiclass,573,-0.558631547,0.998553674,0.558768191,0.558631547,0.558631547,0.558631547,0.558631547,ok
20,0.8,5,dart,0.6,0,1,0.5,200,multi_error,500,0.05,1000,3,400,12,multiclass,573,-0.558401167,0.999859207,0.560380908,0.558401167,0.558401167,0.558401167,0.558401167,ok
43,0.6,2,gbdt,0.8,0.4,0,0.05,200,multi_error,500,0.2,1000,3,200,12,multiclass,573,-0.558017202,0.978151519,0.558077026,0.558017202,0.558017202,0.558017202,0.558017202,ok
17,0.8,8,dart,0.6,0,1,0.5,255,multi_error,500,0.05,1000,3,400,12,multiclass,475,-0.557978805,0.999667217,0.553661253,0.557978805,0.557978805,0.557978805,0.557978805,ok
39,0.4,5,gbdt,0.6,1,0,0.05,300,multi_error,250,0.2,1000,3,300,12,multiclass,709,-0.557402857,0.992883564,0.555120378,0.557402857,0.557402857,0.557402857,0.557402857,ok
31,0.8,5,gbdt,0.6,1,0,0.05,200,multi_error,500,0.05,1000,3,300,12,multiclass,573,-0.55736446,0.99453468,0.567177361,0.55736446,0.55736446,0.55736446,0.55736446,ok
45,0.8,5,gbdt,0.4,1,0,0.05,300,multi_error,750,0.2,1000,3,200,12,multiclass,475,-0.556865305,0.945346798,0.551856545,0.556865305,0.556865305,0.556865305,0.556865305,ok
26,0.8,5,dart,0.6,0,1,0.5,200,multi_error,500,0.05,1000,3,300,12,multiclass,573,-0.556481339,0.999884806,0.555312368,0.556481339,0.556481339,0.556481339,0.556481339,ok
25,0.8,5,dart,0.6,0,1,0.5,200,multi_error,500,0.05,1000,3,300,12,multiclass,573,-0.55625096,0.999884806,0.551203778,0.55625096,0.55625096,0.55625096,0.55625096,ok
15,0.6,5,dart,0.4,0,1,0.1,200,multi_error,250,0.05,1000,3,400,12,multiclass,573,-0.555866994,0.992742772,0.550934992,0.555866994,0.555866994,0.555866994,0.555866994,ok
36,0.6,5,gbdt,0.6,1,0,0.05,300,multi_error,500,0.2,1000,3,300,12,multiclass,709,-0.555828598,0.977293963,0.555005184,0.555828598,0.555828598,0.555828598,0.555828598,ok
27,0.8,5,dart,0.6,0,1,0.5,200,multi_error,500,0.05,1000,3,300,12,multiclass,573,-0.554830287,0.999846408,0.555888339,0.554830287,0.554830287,0.554830287,0.554830287,ok
22,0.8,5,dart,0.6,0,1,0.5,200,multi_error,500,0.05,1000,3,300,12,multiclass,573,-0.554446322,0.999897605,0.557731444,0.554446322,0.554446322,0.554446322,0.554446322,ok
42,0.4,8,gbdt,0.6,1,0,0.05,200,multi_error,250,0.2,1000,3,300,12,multiclass,475,-0.554331132,0.987815024,0.551741351,0.554331132,0.554331132,0.554331132,0.554331132,ok
40,0.6,2,gbdt,0.8,1,0,0.05,200,multi_error,500,0.2,1000,3,200,12,multiclass,573,-0.551643373,0.974913284,0.555926737,0.551643373,0.551643373,0.551643373,0.551643373,ok
12,0.6,8,dart,0.4,0,0.5,0.05,255,multi_error,250,0.05,1000,3,400,12,multiclass,573,-0.54899401,0.937168017,0.550512614,0.54899401,0.54899401,0.54899401,0.54899401,ok
11,0.4,5,dart,0.8,0.4,0.5,0.1,255,multi_error,250,0.2,1000,3,300,12,multiclass,475,-0.546805406,0.951413688,0.54122029,0.546805406,0.546805406,0.546805406,0.546805406,ok
10,0.8,5,dart,0.6,0,1,0.1,200,multi_error,750,0.05,1000,3,400,12,multiclass,573,-0.54442482,0.896043723,0.54198825,0.54442482,0.54442482,0.54442482,0.54442482,ok
13,0.4,2,gbdt,0.8,0.4,0,0.1,200,multi_error,750,0.2,1000,3,200,12,multiclass,709,-0.540354784,0.937232014,0.544100142,0.540354784,0.540354784,0.540354784,0.540354784,ok
6,0.6,2,dart,0.8,1,0,1,300,multi_error,500,0.05,1000,3,400,12,multiclass,573,-0.535516818,0.999680016,0.539684368,0.535516818,0.535516818,0.535516818,0.535516818,ok
19,0.8,5,dart,0.4,0,1,0.5,300,multi_error,750,0.4,1000,3,400,12,multiclass,475,-0.535440025,0.997696118,0.54356257,0.535440025,0.535440025,0.535440025,0.535440025,ok
5,0.6,2,dart,0.6,1,0.5,0.5,300,multi_error,750,0.05,1000,3,400,12,multiclass,475,-0.5345953,0.995865812,0.532311946,0.5345953,0.5345953,0.5345953,0.5345953,ok
44,0.4,5,gbdt,0.6,1,0.5,0.01,255,multi_error,250,0.4,1000,3,300,12,multiclass,709,-0.534326524,0.775038718,0.527780978,0.534326524,0.534326524,0.534326524,0.534326524,ok
24,0.8,5,dart,0.6,0,1,0.05,200,multi_error,500,0.05,1000,3,300,12,multiclass,573,-0.53336661,0.873312086,0.535230196,0.53336661,0.53336661,0.53336661,0.53336661,ok
14,0.4,8,dart,0.4,0,0,0.1,255,multi_error,750,0.2,1000,3,200,12,multiclass,475,-0.532867455,0.721985434,0.524094766,0.532867455,0.532867455,0.532867455,0.532867455,ok
9,0.4,2,gbdt,0.6,0.4,0.5,0.01,200,multi_error,250,0.4,1000,3,200,12,multiclass,709,-0.52979573,0.764658449,0.529048113,0.52979573,0.52979573,0.52979573,0.52979573,ok
8,0.4,2,dart,0.4,0,1,0.5,300,multi_error,250,0.2,1000,3,200,12,multiclass,709,-0.529565351,0.999283237,0.5214837,0.529565351,0.529565351,0.529565351,0.529565351,ok
7,0.4,8,gbdt,0.8,0.4,0.5,0.01,255,multi_error,250,0.4,1000,3,300,12,multiclass,573,-0.528336661,0.773464399,0.527588987,0.528336661,0.528336661,0.528336661,0.528336661,ok
48,0.4,5,gbdt,0.4,0.4,0,0.01,200,multi_error,250,0.2,1000,3,200,12,multiclass,709,-0.528259868,0.770802135,0.527051415,0.528259868,0.528259868,0.528259868,0.528259868,ok
4,0.6,8,dart,0.8,0,0.5,1,200,multi_error,750,0.4,1000,3,200,12,multiclass,475,-0.513477192,0.996851361,0.511193027,0.513477192,0.513477192,0.513477192,0.513477192,ok
3,0.6,2,dart,0.4,0,1,0.01,255,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.513093227,0.704130349,0.506431671,0.513093227,0.513093227,0.513093227,0.513093227,ok
18,0.8,2,gbdt,0.4,0,1,0.01,200,multi_error,750,0.4,1000,3,400,12,multiclass,573,-0.511710951,0.692854126,0.522904427,0.511710951,0.511710951,0.511710951,0.511710951,ok
1,0.4,8,gbdt,0.6,1,0,1,255,multi_error,750,0.2,1000,3,300,12,multiclass,709,-0.509637536,0.996800164,0.510732251,0.509637536,0.509637536,0.509637536,0.509637536,ok
0,0.8,2,gbdt,0.8,1,0,1,255,multi_error,500,0.2,1000,3,400,12,multiclass,709,-0.501535862,0.999731214,0.499097646,0.501535862,0.501535862,0.501535862,0.501535862,ok
47,0.8,2,gbdt,0.8,1,0,1,255,multi_error,750,0.4,1000,3,300,12,multiclass,573,-0.501075104,0.999283237,0.494221096,0.501075104,0.501075104,0.501075104,0.501075104,ok
35,0.8,8,gbdt,0.8,1,0,1,200,multi_error,500,0.2,1000,3,300,12,multiclass,573,-0.499769621,0.998732865,0.494451484,0.499769621,0.499769621,0.499769621,0.499769621,ok
38,0.8,8,gbdt,0.6,1,0,1,200,multi_error,500,0.2,1000,3,300,12,multiclass,573,-0.496121947,0.998745664,0.503436624,0.496121947,0.496121947,0.496121947,0.496121947,ok
16,0.6,5,dart,0.6,0.4,0.5,0.01,300,multi_error,750,0.4,1000,3,400,12,multiclass,475,-0.491437567,0.570965967,0.485927121,0.491437567,0.491437567,0.491437567,0.491437567,ok
41,0.8,5,gbdt,0.4,1,0,1,255,multi_error,500,0.4,1000,3,300,12,multiclass,573,-0.485217325,0.996467381,0.495219445,0.485217325,0.485217325,0.485217325,0.485217325,ok
2,0.4,8,dart,0.8,1,1,0.01,200,multi_error,750,0.05,1000,3,400,12,multiclass,475,-0.482913531,0.540849109,0.488576585,0.482913531,0.482913531,0.482913531,0.482913531,ok
