,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
21,0.8,8,gbdt,0.6,1,1,0.1,255,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.61538762,0.999804723,0.613512986,0.61538762,0.61538762,0.61538762,0.61538762,ok
31,0.8,8,gbdt,0.6,1,1,0.1,255,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.612770943,0.999739631,0.608943566,0.612770943,0.612770943,0.612770943,0.612770943,ok
24,0.8,8,gbdt,0.6,1,1,0.1,255,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.611911736,0.999778686,0.608435852,0.611911736,0.611911736,0.611911736,0.611911736,ok
23,0.8,8,gbdt,0.6,1,1,0.1,255,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.608787346,0.99983076,0.610232376,0.608787346,0.608787346,0.608787346,0.608787346,ok
42,0.8,8,gbdt,0.4,1,1,0.1,200,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.60624878,0.999804723,0.609256005,0.60624878,0.60624878,0.60624878,0.60624878,ok
34,0.8,5,gbdt,0.6,0,1,0.05,200,multi_error,250,0.05,1000,3,200,12,multiclass,475,-0.605741066,0.999947926,0.613473931,0.605741066,0.605741066,0.605741066,0.605741066,ok
26,0.8,8,gbdt,0.6,1,1,0.1,255,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.60472564,0.999817742,0.608748291,0.60472564,0.60472564,0.60472564,0.60472564,ok
28,0.8,8,gbdt,0.6,1,1,0.1,255,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.60312439,0.999791705,0.607029877,0.60312439,0.60312439,0.60312439,0.60312439,ok
44,0.8,8,gbdt,0.8,0,0.5,0.1,300,multi_error,250,0.05,1000,3,400,12,multiclass,573,-0.600273384,0.999856797,0.607967194,0.600273384,0.600273384,0.600273384,0.600273384,ok
29,0.6,8,gbdt,0.6,0,1,0.1,200,multi_error,250,0.05,1000,3,200,12,multiclass,475,-0.598672134,0.999336059,0.601640305,0.598672134,0.598672134,0.598672134,0.598672134,ok
33,0.6,8,gbdt,0.6,1,5,0.1,255,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.597851982,0.999088708,0.593673111,0.597851982,0.597851982,0.597851982,0.597851982,ok
35,0.8,8,gbdt,0.6,0.4,1,0.1,255,multi_error,500,0.05,1000,3,400,12,multiclass,475,-0.595196251,0.999817742,0.593790275,0.595196251,0.595196251,0.595196251,0.595196251,ok
19,0.8,8,gbdt,0.6,1,1,0.1,255,multi_error,750,0.2,1000,3,400,12,multiclass,475,-0.590275337,0.997708751,0.587853935,0.590275337,0.590275337,0.590275337,0.590275337,ok
48,0.8,8,gbdt,0.8,0.4,0.5,0.1,200,multi_error,500,0.05,1000,3,400,12,multiclass,573,-0.589962898,0.999778686,0.592032806,0.589962898,0.589962898,0.589962898,0.589962898,ok
39,0.8,8,gbdt,0.6,0,0.5,0.1,255,multi_error,250,0.4,1000,3,400,12,multiclass,475,-0.589728569,0.999114745,0.59375122,0.589728569,0.589728569,0.589728569,0.589728569,ok
46,0.8,2,gbdt,0.4,1,1,0.05,255,multi_error,250,0.2,1000,3,400,12,multiclass,709,-0.588752197,0.999895852,0.597656708,0.588752197,0.588752197,0.588752197,0.588752197,ok
25,0.8,8,gbdt,0.6,1,1,0.01,200,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.582190978,0.913687609,0.573130248,0.582190978,0.582190978,0.582190978,0.582190978,ok
13,0.4,2,gbdt,0.4,1,0,0.1,255,multi_error,250,0.05,1000,3,300,12,multiclass,475,-0.57867604,0.999505299,0.577738723,0.57867604,0.57867604,0.57867604,0.57867604,ok
6,0.8,2,gbdt,0.8,0.4,1,0.1,200,multi_error,750,0.4,1000,3,300,12,multiclass,573,-0.578090217,0.994987893,0.572856864,0.578090217,0.578090217,0.578090217,0.578090217,ok
20,0.4,8,gbdt,0.4,1,1,0.1,255,multi_error,250,0.05,1000,3,300,12,multiclass,475,-0.572856864,0.998359674,0.570357352,0.572856864,0.572856864,0.572856864,0.572856864,ok
40,0.8,5,gbdt,0.8,1,1,0.01,255,multi_error,250,0.2,1000,3,300,12,multiclass,709,-0.57266159,0.928099044,0.571607108,0.57266159,0.57266159,0.57266159,0.57266159,ok
36,0.8,8,gbdt,0.4,1,5,0.01,255,multi_error,250,0.4,1000,3,400,12,multiclass,573,-0.57258348,0.903168693,0.570708846,0.57258348,0.57258348,0.57258348,0.57258348,ok
30,0.8,5,gbdt,0.6,1,5,0.5,255,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.569576255,0.999687557,0.571880492,0.569576255,0.569576255,0.569576255,0.569576255,ok
18,0.8,8,gbdt,0.4,1,0,0.05,300,multi_error,750,0.4,1000,3,400,12,multiclass,709,-0.5695372,0.948264639,0.566217536,0.5695372,0.5695372,0.5695372,0.5695372,ok
22,0.8,8,gbdt,0.6,1,1,0.5,255,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.567545401,0.999583409,0.561570006,0.567545401,0.567545401,0.567545401,0.567545401,ok
27,0.8,8,gbdt,0.6,1,1,0.5,255,multi_error,250,0.05,1000,3,400,12,multiclass,475,-0.566256591,0.999479262,0.565826987,0.566256591,0.566256591,0.566256591,0.566256591,ok
11,0.6,8,gbdt,0.4,0,0,0.1,300,multi_error,750,0.2,1000,3,300,12,multiclass,573,-0.563796134,0.985484417,0.564772505,0.563796134,0.563796134,0.563796134,0.563796134,ok
2,0.4,2,gbdt,0.4,0.4,0,0.1,300,multi_error,500,0.2,1000,3,200,12,multiclass,573,-0.560437415,0.982776577,0.557547354,0.560437415,0.560437415,0.560437415,0.560437415,ok
5,0.8,5,gbdt,0.8,0.4,0.5,0.5,300,multi_error,250,0.05,1000,3,300,12,multiclass,709,-0.558562781,0.999687557,0.555477446,0.558562781,0.558562781,0.558562781,0.558562781,ok
16,0.6,8,gbdt,0.4,0,0.5,0.05,255,multi_error,750,0.4,1000,3,400,12,multiclass,709,-0.558289397,0.907152342,0.557586409,0.558289397,0.558289397,0.558289397,0.558289397,ok
41,0.4,2,gbdt,0.8,0.4,0,0.05,300,multi_error,500,0.05,1000,3,200,12,multiclass,573,-0.557000586,0.909925274,0.562585433,0.557000586,0.557000586,0.557000586,0.557000586,ok
32,0.8,8,gbdt,0.6,0,1,0.01,255,multi_error,500,0.05,1000,3,200,12,multiclass,475,-0.556375708,0.777163017,0.553173208,0.556375708,0.556375708,0.556375708,0.556375708,ok
38,0.4,8,gbdt,0.6,0.4,1,0.1,300,multi_error,500,0.05,1000,3,400,12,multiclass,573,-0.556336653,0.978975187,0.560554579,0.556336653,0.556336653,0.556336653,0.556336653,ok
7,0.8,8,gbdt,0.8,1,1,0.01,255,multi_error,500,0.2,1000,3,200,12,multiclass,709,-0.553837141,0.795623194,0.552274946,0.553837141,0.553837141,0.553837141,0.553837141,ok
15,0.4,2,gbdt,0.6,0.4,5,0.1,255,multi_error,750,0.4,1000,3,400,12,multiclass,475,-0.551962507,0.914338532,0.556492872,0.551962507,0.551962507,0.551962507,0.551962507,ok
10,0.4,2,gbdt,0.8,1,5,0.05,300,multi_error,750,0.2,1000,3,400,12,multiclass,709,-0.546494825,0.831072461,0.551337629,0.546494825,0.546494825,0.546494825,0.546494825,ok
49,0.4,2,gbdt,0.6,1,5,0.01,255,multi_error,250,0.4,1000,3,400,12,multiclass,475,-0.545362234,0.764873591,0.549228666,0.545362234,0.545362234,0.545362234,0.545362234,ok
37,0.6,5,gbdt,0.6,1,0,0.5,200,multi_error,250,0.05,1000,3,200,12,multiclass,475,-0.544385862,0.999375114,0.554032416,0.544385862,0.544385862,0.544385862,0.544385862,ok
1,0.4,8,gbdt,0.6,0.4,0,0.05,255,multi_error,750,0.4,1000,3,300,12,multiclass,573,-0.543136106,0.810698571,0.540167936,0.543136106,0.543136106,0.543136106,0.543136106,ok
4,0.6,5,gbdt,0.6,0,0.5,0.01,300,multi_error,500,0.2,1000,3,400,12,multiclass,573,-0.539543058,0.730530893,0.542394064,0.539543058,0.539543058,0.539543058,0.539543058,ok
12,0.8,2,gbdt,0.8,0.4,1,1,300,multi_error,750,0.05,1000,3,400,12,multiclass,573,-0.536379613,0.999804723,0.536145284,0.536379613,0.536379613,0.536379613,0.536379613,ok
45,0.4,5,gbdt,0.6,0.4,0,0.5,255,multi_error,500,0.4,1000,3,200,12,multiclass,475,-0.526108182,0.998463822,0.522397969,0.526108182,0.526108182,0.526108182,0.526108182,ok
