,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
0,0.8,2,gbdt,0.4,1,0.5,0.01,200,multi_error,500,0.2,100,3,400,12,multiclass,709,-0.519317161,0.604239915,0.519454645,0.519317161,0.519317161,0.519317161,0.519317161,ok
1,0.6,8,gbdt,0.8,0,5,0.01,300,multi_error,250,0.4,100,3,400,12,multiclass,573,-0.5123247,0.62665052,0.514376123,0.5123247,0.5123247,0.5123247,0.5123247,ok
2,0.8,8,gbdt,0.6,1,1,0.01,300,multi_error,250,0.2,100,3,200,12,multiclass,573,-0.52716903,0.668997578,0.528049066,0.52716903,0.52716903,0.52716903,0.52716903,ok
3,0.6,8,gbdt,0.4,0,5,0.5,300,multi_error,500,0.2,100,3,400,12,multiclass,573,-0.531739521,0.88193088,0.534377686,0.531739521,0.531739521,0.531739521,0.531739521,ok
4,0.8,2,gbdt,0.6,0,1,0.01,300,multi_error,250,0.2,100,3,300,12,multiclass,573,-0.533809914,0.677448759,0.532736933,0.533809914,0.533809914,0.533809914,0.533809914,ok
5,0.8,2,gbdt,0.4,0.4,0.5,0.5,200,multi_error,750,0.4,100,3,300,12,multiclass,475,-0.550294933,0.873896398,0.551957184,0.550294933,0.550294933,0.550294933,0.550294933,ok
6,0.8,5,gbdt,0.4,1,0.5,0.05,200,multi_error,500,0.4,100,3,200,12,multiclass,573,-0.533536466,0.674453733,0.539690601,0.533536466,0.533536466,0.533536466,0.533536466,ok
7,0.6,2,gbdt,0.4,0.4,1,0.05,255,multi_error,250,0.2,100,3,200,12,multiclass,475,-0.550959022,0.724626924,0.547659973,0.550959022,0.550959022,0.550959022,0.550959022,ok
8,0.4,5,gbdt,0.4,0,1,0.5,300,multi_error,500,0.05,100,3,300,12,multiclass,709,-0.515684206,0.768731932,0.515782483,0.515684206,0.515684206,0.515684206,0.515684206,ok
9,0.4,2,gbdt,0.8,0,0,0.1,300,multi_error,250,0.05,100,3,200,12,multiclass,709,-0.549005821,0.758340495,0.543011173,0.549005821,0.549005821,0.549005821,0.549005821,ok
10,0.6,5,gbdt,0.4,0.4,5,0.5,200,multi_error,500,0.05,100,3,400,12,multiclass,709,-0.530645728,0.857918587,0.533791702,0.530645728,0.530645728,0.530645728,0.530645728,ok
