,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
0,0.8,2.0,gbdt,0.8,0.4,15.0,0.5,255.0,multi_error,500.0,0.2,1000.0,3.0,150.0,12.0,multiclass,0.8,-0.5204647165169971,0.9997431388433344,0.5277555496280489,0.5204647165169971,0.5204647165169971,0.5204647165169971,0.5204647165169971,ok
1,0.6,8.0,gbdt,0.8,0.4,1.0,0.05,255.0,multi_error,750.0,0.4,1000.0,3.0,150.0,12.0,multiclass,0.8,-0.5491242109006846,0.9089032028610381,0.5478201594499273,0.5491242109006846,0.5491242109006846,0.5491242109006846,0.5491242109006846,ok
2,0.8,5.0,gbdt,0.6,1.0,45.0,0.075,200.0,multi_error,750.0,0.2,1000.0,3.0,100.0,12.0,multiclass,0.75,-0.5623721881390593,0.9840548497362234,0.5642097151833081,0.5623721881390593,0.5623721881390593,0.5623721881390593,0.5623721881390593,ok
3,0.6,5.0,gbdt,0.2,2.0,1.0,0.075,300.0,multi_error,1200.0,0.4,1000.0,3.0,100.0,12.0,multiclass,0.7,-0.5423668533831244,0.7963782576910158,0.5378323108384458,0.5423668533831244,0.5423668533831244,0.5423668533831244,0.5423668533831244,ok
4,0.6,5.0,gbdt,0.4,0.4,15.0,0.3,255.0,multi_error,500.0,0.8,1000.0,3.0,200.0,12.0,multiclass,0.7,-0.5265700483091788,0.9687814901898797,0.5252659968584215,0.5265700483091788,0.5265700483091788,0.5265700483091788,0.5265700483091788,ok
5,0.6,5.0,gbdt,0.2,2.0,5.0,0.5,200.0,multi_error,500.0,0.3,1000.0,3.0,100.0,12.0,multiclass,0.8,-0.4920126848641119,0.8081345952460928,0.49432441243590886,0.4920126848641119,0.4920126848641119,0.4920126848641119,0.4920126848641119,ok
6,0.4,8.0,gbdt,0.2,2.0,45.0,0.3,300.0,multi_error,1200.0,0.3,1000.0,3.0,150.0,12.0,multiclass,0.8,-0.508846803592069,0.695896149058505,0.515870898906375,0.508846803592069,0.508846803592069,0.508846803592069,0.508846803592069,ok
7,0.2,5.0,gbdt,0.8,2.0,5.0,0.05,300.0,multi_error,750.0,0.3,1000.0,3.0,150.0,12.0,multiclass,0.75,-0.5227171690228506,0.6455316038015452,0.5265107732432353,0.5227171690228506,0.5227171690228506,0.5227171690228506,0.5227171690228506,ok
8,0.4,5.0,gbdt,0.8,0.4,45.0,0.3,300.0,multi_error,1200.0,0.3,1000.0,3.0,150.0,12.0,multiclass,0.7,-0.5111585311638659,0.6737962103100117,0.5136480839334934,0.5111585311638659,0.5111585311638659,0.5111585311638659,0.5111585311638659,ok
9,0.8,8.0,gbdt,0.2,0.4,5.0,0.5,200.0,multi_error,1200.0,0.3,1000.0,3.0,50.0,12.0,multiclass,0.66,-0.5292374262766367,0.9776728379206101,0.5328235677662191,0.5292374262766367,0.5292374262766367,0.5292374262766367,0.5292374262766367,ok
