,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
0,0.4,2.0,gbdt,0.6000000000000001,11.0,410.0,0.9000000000000002,127.0,multi_error,1100.0,0.6800000000000002,1000.0,3.0,170.0,12.0,multiclass,0.68,-0.505082836904656,0.5917587085811384,0.5036305977890401,0.505082836904656,0.505082836904656,0.505082836904656,0.505082836904656,ok
1,0.5,8.0,gbdt,0.5,11.0,380.0,0.8000000000000002,255.0,multi_error,650.0,0.5,1000.0,3.0,65.0,12.0,multiclass,0.7400000000000001,-0.5233099196822857,0.6990575171405425,0.520109066121336,0.5233099196822857,0.5233099196822857,0.5233099196822857,0.5233099196822857,ok
2,0.7,4.0,gbdt,0.7000000000000002,6.0,420.0,0.6,255.0,multi_error,500.0,0.6000000000000001,1000.0,3.0,125.0,12.0,multiclass,0.67,-0.5173824130879345,0.7508446780344193,0.5195459529948727,0.5173824130879345,0.5173824130879345,0.5173824130879345,0.5173824130879345,ok
3,0.5,8.0,gbdt,0.5,1.0,420.0,0.7500000000000001,127.0,multi_error,1100.0,0.6800000000000002,1000.0,3.0,185.0,12.0,multiclass,0.68,-0.5115438190924987,0.6070419474027385,0.5171749503571322,0.5115438190924987,0.5115438190924987,0.5115438190924987,0.5115438190924987,ok
4,0.6,4.0,gbdt,0.3,11.0,400.0,0.9500000000000003,255.0,multi_error,1250.0,0.54,1000.0,3.0,140.0,12.0,multiclass,0.7200000000000001,-0.5124033075486797,0.6526841990871549,0.5179455262143979,0.5124033075486797,0.5124033075486797,0.5124033075486797,0.5124033075486797,ok
5,0.4,2.0,gbdt,0.4,11.0,440.0,0.7500000000000001,255.0,multi_error,500.0,0.6600000000000001,1000.0,3.0,65.0,12.0,multiclass,0.6900000000000001,-0.5083133279985774,0.5924304992985715,0.512729320411369,0.5083133279985774,0.5083133279985774,0.5083133279985774,0.5083133279985774,ok
6,0.6,4.0,gbdt,0.6000000000000001,6.0,360.0,0.9000000000000002,127.0,multi_error,650.0,0.6800000000000002,1000.0,3.0,110.0,12.0,multiclass,0.66,-0.5082244153996621,0.6772539566497402,0.5105954180374026,0.5082244153996621,0.5082244153996621,0.5082244153996621,0.5082244153996621,ok
7,0.7,2.0,gbdt,0.3,11.0,380.0,0.65,127.0,multi_error,650.0,0.6200000000000001,1000.0,3.0,170.0,12.0,multiclass,0.66,-0.5198126907916185,0.6632550236114678,0.5217391304347826,0.5198126907916185,0.5198126907916185,0.5198126907916185,0.5198126907916185,ok
8,0.7,8.0,gbdt,0.5,11.0,410.0,0.8500000000000002,255.0,multi_error,1250.0,0.6000000000000001,1000.0,3.0,50.0,12.0,multiclass,0.68,-0.5132924335378323,0.6734405564007825,0.5129960582081148,0.5132924335378323,0.5132924335378323,0.5132924335378323,0.5132924335378323,ok
9,0.5,2.0,gbdt,0.7000000000000002,16.0,400.0,0.65,127.0,multi_error,500.0,0.6400000000000001,1000.0,3.0,140.0,12.0,multiclass,0.68,-0.516493287098782,0.6020035170219913,0.5171156752911887,0.516493287098782,0.516493287098782,0.516493287098782,0.516493287098782,ok
