,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
32,0.7,8,gbdt,0.6,6,350,0.75,255,multi_error,1100,0.62,1000,3,155,12,multiclass,0.71,-0.473044664,0.846406908,0.468450846,0.473044664,0.473044664,0.473044664,0.473044664,ok
30,0.7,8,gbdt,0.6,6,350,0.65,255,multi_error,1100,0.62,1000,3,95,12,multiclass,0.71,-0.472629738,0.871134734,0.469043597,0.472629738,0.472629738,0.472629738,0.472629738,ok
40,0.7,8,gbdt,0.7,6,390,0.75,255,multi_error,650,0.54,1000,3,155,12,multiclass,0.71,-0.472333363,0.926379641,0.472926114,0.472333363,0.472333363,0.472333363,0.472333363,ok
22,0.7,8,gbdt,0.5,6,350,0.65,255,multi_error,1100,0.6,1000,3,95,12,multiclass,0.7,-0.471355324,0.837476043,0.475534217,0.471355324,0.471355324,0.471355324,0.471355324,ok
45,0.7,4,gbdt,0.6,11,400,0.6,127,multi_error,1100,0.5,1000,3,155,12,multiclass,0.71,-0.471236774,0.775859003,0.474141252,0.471236774,0.471236774,0.471236774,0.471236774,ok
41,0.6,8,gbdt,0.6,6,360,0.7,255,multi_error,1100,0.64,1000,3,65,12,multiclass,0.74,-0.470644024,0.669281382,0.468124833,0.470644024,0.470644024,0.470644024,0.470644024,ok
24,0.7,8,gbdt,0.5,6,350,0.65,255,multi_error,1100,0.6,1000,3,95,12,multiclass,0.7,-0.470377286,0.870749442,0.472866839,0.470377286,0.470377286,0.470377286,0.470377286,ok
27,0.7,8,gbdt,0.5,6,350,0.65,255,multi_error,1100,0.6,1000,3,95,12,multiclass,0.7,-0.470110548,0.740935765,0.472777926,0.470110548,0.470110548,0.470110548,0.470110548,ok
23,0.7,8,gbdt,0.5,6,350,0.65,255,multi_error,1100,0.6,1000,3,95,12,multiclass,0.7,-0.469991998,0.903518998,0.473667052,0.469991998,0.469991998,0.469991998,0.469991998,ok
29,0.7,8,gbdt,0.5,6,390,0.65,255,multi_error,1100,0.54,1000,3,80,12,multiclass,0.7,-0.469310335,0.852304835,0.470970036,0.469310335,0.469310335,0.469310335,0.469310335,ok
33,0.7,8,gbdt,0.6,11,370,0.75,255,multi_error,800,0.62,1000,3,155,12,multiclass,0.71,-0.468984322,0.836063306,0.470406923,0.468984322,0.468984322,0.468984322,0.468984322,ok
20,0.7,8,gbdt,0.5,6,410,0.65,255,multi_error,1100,0.6,1000,3,140,12,multiclass,0.66,-0.468984322,0.826845943,0.469102872,0.468984322,0.468984322,0.468984322,0.468984322,ok
17,0.7,8,gbdt,0.5,6,420,0.65,255,multi_error,650,0.7,1000,3,185,12,multiclass,0.66,-0.468836134,0.776955603,0.472185175,0.468836134,0.468836134,0.468836134,0.468836134,ok
25,0.7,8,gbdt,0.5,6,350,0.65,255,multi_error,1100,0.62,1000,3,95,12,multiclass,0.7,-0.468213746,0.757197052,0.473726327,0.468213746,0.468213746,0.468213746,0.468213746,ok
21,0.7,8,gbdt,0.5,6,380,0.65,255,multi_error,1100,0.6,1000,3,65,12,multiclass,0.66,-0.467769183,0.845932702,0.476156605,0.467769183,0.467769183,0.467769183,0.467769183,ok
6,0.7,4,gbdt,0.5,16,410,0.7,127,multi_error,950,0.52,1000,3,140,12,multiclass,0.66,-0.465664918,0.749096046,0.467887733,0.465664918,0.465664918,0.465664918,0.465664918,ok
35,0.7,8,gbdt,0.6,16,350,0.75,255,multi_error,1100,0.62,1000,3,155,12,multiclass,0.71,-0.465576005,0.713965344,0.472274088,0.465576005,0.465576005,0.465576005,0.465576005,ok
2,0.5,8,gbdt,0.4,11,370,0.6,255,multi_error,800,0.68,1000,3,125,12,multiclass,0.72,-0.46551673,0.838019403,0.470140186,0.46551673,0.46551673,0.46551673,0.46551673,ok
5,0.5,2,gbdt,0.5,6,400,0.6,255,multi_error,950,0.54,1000,3,155,12,multiclass,0.68,-0.46492398,0.846031495,0.470199461,0.46492398,0.46492398,0.46492398,0.46492398,ok
11,0.6,2,gbdt,0.4,1,400,0.75,255,multi_error,500,0.7,1000,3,125,12,multiclass,0.74,-0.464212679,0.828950228,0.464538692,0.464212679,0.464212679,0.464212679,0.464212679,ok
37,0.7,8,gbdt,0.6,6,410,0.85,255,multi_error,500,0.5,1000,3,155,12,multiclass,0.69,-0.463708841,0.788257493,0.46720607,0.463708841,0.463708841,0.463708841,0.463708841,ok
36,0.6,2,gbdt,0.6,6,440,0.7,255,multi_error,1250,0.62,1000,3,80,12,multiclass,0.71,-0.463531016,0.843541918,0.469162147,0.463531016,0.463531016,0.463531016,0.463531016,ok
1,0.4,8,gbdt,0.6,11,410,0.6,127,multi_error,500,0.7,1000,3,170,12,multiclass,0.73,-0.463175365,0.742891861,0.468865772,0.463175365,0.463175365,0.463175365,0.463175365,ok
15,0.5,4,gbdt,0.3,11,430,0.6,255,multi_error,950,0.58,1000,3,50,12,multiclass,0.72,-0.46311609,0.711050957,0.468865772,0.46311609,0.46311609,0.46311609,0.46311609,ok
39,0.7,2,gbdt,0.6,16,350,0.75,127,multi_error,1100,0.62,1000,3,50,12,multiclass,0.71,-0.461634214,0.764675663,0.468865772,0.461634214,0.461634214,0.461634214,0.461634214,ok
48,0.6,4,gbdt,0.3,16,440,0.9,255,multi_error,500,0.56,1000,3,125,12,multiclass,0.71,-0.461545301,0.739068582,0.46047835,0.461545301,0.461545301,0.461545301,0.461545301,ok
28,0.7,8,gbdt,0.5,6,350,0.7,255,multi_error,1250,0.6,1000,3,95,12,multiclass,0.7,-0.461456388,0.685710616,0.472600101,0.461456388,0.461456388,0.461456388,0.461456388,ok
43,0.7,2,gbdt,0.3,16,380,0.85,255,multi_error,1250,0.52,1000,3,170,12,multiclass,0.67,-0.461248926,0.807452925,0.464271954,0.461248926,0.461248926,0.461248926,0.461248926,ok
49,0.7,8,gbdt,0.6,6,410,0.95,255,multi_error,950,0.64,1000,3,110,12,multiclass,0.68,-0.461011825,0.789245421,0.465694556,0.461011825,0.461011825,0.461011825,0.461011825,ok
31,0.6,8,gbdt,0.6,11,380,0.85,255,multi_error,1250,0.62,1000,3,65,12,multiclass,0.71,-0.460922913,0.75394677,0.462404789,0.460922913,0.460922913,0.460922913,0.460922913,ok
