,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
0,0.6,8.0,gbdt,0.8,0.0,1.0,0.001,300.0,multi_error,500.0,0.05,3.0,200.0,2.0,multiclass,475.0,-0.4939333435724159,0.5590113786174148,0.4942594939139116,0.4939333435724159,0.4939333435724159,0.4939333435724159,0.4939333435724159,ok
1,0.8,5.0,dart,0.4,0.0,1.0,1.0,200.0,multi_error,500.0,0.2,3.0,200.0,2.0,multiclass,709.0,-0.5520273383504838,0.9999360032766322,0.5480935376108743,0.5520273383504838,0.5520273383504838,0.5520273383504838,0.5520273383504838,ok
2,0.8,5.0,dart,0.8,0.4,0.5,0.0001,300.0,multi_error,750.0,0.2,3.0,200.0,2.0,multiclass,709.0,-0.4789970818614652,0.527013016933533,0.4831624620819414,0.4789970818614652,0.4789970818614652,0.4789970818614652,0.4789970818614652,ok
3,0.6,8.0,dart,0.4,0.4,0.0,0.0001,255.0,multi_error,500.0,0.4,3.0,300.0,2.0,multiclass,475.0,-0.491975119029335,0.544125740762073,0.4898437200015359,0.491975119029335,0.491975119029335,0.491975119029335,0.491975119029335,ok
4,0.6,2.0,gbdt,0.4,0.4,1.0,0.1,300.0,multi_error,250.0,0.4,3.0,400.0,2.0,multiclass,709.0,-0.5731454461680233,0.9997440131065289,0.5787735667933802,0.5731454461680233,0.5731454461680233,0.5731454461680233,0.5731454461680233,ok
5,0.8,5.0,dart,0.4,0.4,0.0,0.1,200.0,multi_error,750.0,0.4,3.0,200.0,2.0,multiclass,709.0,-0.5678467209338043,0.8984627987047064,0.5631455669469723,0.5678467209338043,0.5678467209338043,0.5678467209338043,0.5678467209338043,ok
6,0.8,8.0,dart,0.8,1.0,0.5,0.001,300.0,multi_error,250.0,0.2,3.0,400.0,2.0,multiclass,709.0,-0.5160113653816618,0.6456117446786724,0.5184502553469262,0.5160113653816618,0.5160113653816618,0.5160113653816618,0.5160113653816618,ok
7,0.4,5.0,dart,0.8,1.0,0.0,0.01,300.0,multi_error,750.0,0.4,3.0,200.0,2.0,multiclass,475.0,-0.4996160344033175,0.5523301206978203,0.49779211304381216,0.4996160344033175,0.4996160344033175,0.4996160344033175,0.4996160344033175,ok
8,0.4,5.0,dart,0.6,0.4,0.0,1.0,255.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,709.0,-0.5117493472584856,0.9983872825711324,0.515109626387129,0.5117493472584856,0.5117493472584856,0.5117493472584856,0.5117493472584856,ok
9,0.4,2.0,dart,0.6,0.4,0.5,0.001,255.0,multi_error,750.0,0.2,3.0,200.0,2.0,multiclass,475.0,-0.47427430502227,0.5043837755506918,0.4788618822716277,0.47427430502227,0.47427430502227,0.47427430502227,0.47427430502227,ok
10,0.8,5.0,dart,0.4,1.0,0.0,0.0001,200.0,multi_error,500.0,0.4,3.0,400.0,2.0,multiclass,475.0,-0.4999232068806635,0.5733338453071203,0.49660177398917177,0.4999232068806635,0.4999232068806635,0.4999232068806635,0.4999232068806635,ok
11,0.8,2.0,dart,0.4,0.0,0.5,1.0,255.0,multi_error,500.0,0.4,3.0,300.0,2.0,multiclass,573.0,-0.5524113039471663,0.9996416183491406,0.5503974196521139,0.5524113039471663,0.5524113039471663,0.5524113039471663,0.5524113039471663,ok
12,0.6,2.0,gbdt,0.4,0.4,0.0,0.01,300.0,multi_error,250.0,0.2,3.0,300.0,2.0,multiclass,709.0,-0.5631623406542774,0.8715329775115515,0.5670621664170794,0.5631623406542774,0.5631623406542774,0.5631623406542774,0.5631623406542774,ok
13,0.4,8.0,dart,0.6,1.0,0.5,1.0,255.0,multi_error,500.0,0.05,3.0,400.0,2.0,multiclass,709.0,-0.49696667178620796,0.9950594529560086,0.4992512383365972,0.49696667178620796,0.49696667178620796,0.49696667178620796,0.49696667178620796,ok
14,0.6,2.0,dart,0.8,1.0,1.0,1.0,200.0,multi_error,250.0,0.2,3.0,200.0,2.0,multiclass,475.0,-0.5563277530333283,0.9998336085192439,0.5566179011634604,0.5563277530333283,0.5563277530333283,0.5563277530333283,0.5563277530333283,ok
15,0.6,2.0,gbdt,0.6,1.0,0.0,1.0,255.0,multi_error,500.0,0.2,3.0,200.0,2.0,multiclass,475.0,-0.5086776224850253,0.9997440131065289,0.5152632185232117,0.5086776224850253,0.5086776224850253,0.5086776224850253,0.5086776224850253,ok
16,0.6,8.0,gbdt,0.4,0.4,0.5,0.0001,300.0,multi_error,750.0,0.05,3.0,300.0,2.0,multiclass,709.0,-0.47646290892336046,0.5159927811696041,0.4744077103252313,0.47646290892336046,0.47646290892336046,0.47646290892336046,0.47646290892336046,ok
17,0.8,2.0,dart,0.8,0.4,1.0,0.1,300.0,multi_error,500.0,0.05,3.0,200.0,2.0,multiclass,709.0,-0.5723007218553218,0.9775115514085679,0.5782359943170909,0.5723007218553218,0.5723007218553218,0.5723007218553218,0.5723007218553218,ok
18,0.4,2.0,dart,0.6,0.4,1.0,1e-05,200.0,multi_error,500.0,0.2,3.0,300.0,2.0,multiclass,573.0,-0.46728613116264783,0.5106042570620384,0.46649771531697576,0.46728613116264783,0.46728613116264783,0.46728613116264783,0.46728613116264783,ok
19,0.6,2.0,gbdt,0.8,1.0,1.0,1.0,255.0,multi_error,500.0,0.2,3.0,200.0,2.0,multiclass,475.0,-0.5150898479496238,0.9995392235917521,0.5144568598087778,0.5150898479496238,0.5150898479496238,0.5150898479496238,0.5150898479496238,ok
20,0.8,2.0,gbdt,0.8,0.4,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6053601597296883,0.9999872006553264,0.6067273355604194,0.6053601597296883,0.6053601597296883,0.6053601597296883,0.6053601597296883,ok
21,0.6,2.0,gbdt,0.8,0.4,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6006373828904931,0.999884805897938,0.6000076796068041,0.6006373828904931,0.6006373828904931,0.6006373828904931,0.6006373828904931,ok
22,0.8,2.0,gbdt,0.8,0.4,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.603670711104285,0.9999872006553264,0.6050378220635103,0.603670711104285,0.603670711104285,0.603670711104285,0.603670711104285,ok
23,0.8,2.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6042850560589771,0.9999616019659794,0.6074952962408324,0.6042850560589771,0.6042850560589771,0.6042850560589771,0.6042850560589771,ok
24,0.8,2.0,gbdt,0.8,0.0,1.0,1e-05,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.32771463676854556,0.33508684355361007,0.33367891563951924,0.32771463676854556,0.32771463676854556,0.32771463676854556,0.32771463676854556,ok
25,0.8,2.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6087006604208263,0.9999744013106528,0.5992781169604117,0.6087006604208263,0.6087006604208263,0.6087006604208263,0.6087006604208263,ok
26,0.8,2.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6010981416065121,0.9999872006553264,0.603732288906808,0.6010981416065121,0.6010981416065121,0.6010981416065121,0.6010981416065121,ok
27,0.8,2.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6091614191368453,0.9999744013106528,0.6040394731789732,0.6091614191368453,0.6091614191368453,0.6091614191368453,0.6091614191368453,ok
28,0.8,8.0,gbdt,0.8,0.0,1.0,0.01,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.5766011365381661,0.9274533143903032,0.5781591982490496,0.5766011365381661,0.5766011365381661,0.5766011365381661,0.5766011365381661,ok
