Name,US TREAS.BENCHMARK BOND 10 YR (DS) - RED. YIELD,US GDP (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES (AR) CURA,US THE CONFERENCE BOARD LEADING ECONOMIC INDICATORS INDEX SADJ,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,US FEDERAL FUNDS TARGET RATE (EP) NADJ,US UNEMPLOYMENT RATE SADJ,US PHILADELPHIA FED MBOS: GENL BUS ACTIV - INDEX SADJ,US CPI - ALL URBAN: ALL ITEMS SADJ,S&P 500 TR (1970) - TOT RETURN IND
12/31/2019,1.9194,21734.266,14799.798,111.367,1.52,1.75,3.5,5.9,257.903,14180.02
9/30/2019,1.6674,21542.54,14678.197,111.8,1.84,2,3.6,14,256.273,13000.85
6/28/2019,1.9992,21340.267,14511.176,111.6,2.08,2.5,3.6,10,255.139,12783.74
3/29/2019,2.4147,21098.827,14266.25,111.3,2.35,2.5,3.9,9.7,253.311,12256.26
12/31/2018,2.687,20897.804,14211.92,111.2,2.4,2.5,3.8,14,252.759,10784.4
9/28/2018,3.0638,20749.752,14114.559,110.767,2.15,2.25,3.8,17.4,251.829,12470.38
6/29/2018,2.8591,20510.177,13939.828,109.233,1.89,2,3.9,26.4,250.579,11577.65
3/30/2018,2.7453,20163.159,13728.357,108.067,1.7,1.75,4.1,25.8,249.25,11193.29
12/29/2017,2.4114,19918.91,13586.267,106.2,1.37,1.5,4.1,26.5,247.273,11278.91
9/29/2017,2.3256,19611.704,13345.053,104.167,1.04,1.25,4.3,21.7,245.368,10576.15
6/30/2017,2.301,19356.649,13212.501,103.133,1.01,1.25,4.4,28.7,244.065,10122.62
3/31/2017,2.3952,19190.431,13104.419,102.1,0.75,1,4.6,32.2,243.83,9819.38
12/30/2016,2.4467,18991.883,12959.767,100.667,0.5,0.75,4.8,14.2,242.164,9257.79
9/30/2016,1.6058,18806.743,12822.38,100.3,0.28,0.5,4.9,6.1,240.601,8916.79
6/30/2016,1.4912,18637.253,12688.261,99.667,0.26,0.5,4.9,-0.5,239.486,8586.05
3/31/2016,1.7845,18424.283,12523.524,99.333,0.21,0.5,4.9,-0.6,237.78,8380.29
12/31/2015,2.2695,18350.825,12421.31,99.767,0.16,0.5,5,-5.9,237.871,8268.84
9/30/2015,2.0342,18344.713,12376.214,99.3,-0.01,0.25,5.1,2.1,237.862,7724.82
6/30/2015,2.3485,18219.405,12248.02,99.133,0.01,0.25,5.4,8.1,236.938,8256.4
3/31/2015,1.9272,17984.178,12091.58,98.067,0.03,0.25,5.5,10.3,235.32,8233.5
12/31/2014,2.1709,17849.912,12044.547,97.367,0.04,0.25,5.7,25.1,236.888,8155.98
9/30/2014,2.5068,17721.657,11915.359,96.2,0.02,0.25,6.1,22,237.478,7772.58
6/30/2014,2.515,17432.909,11756.878,94.7,0.04,0.25,6.2,16.5,236.872,7685.89
3/31/2014,2.7252,17104.555,11574.229,93.333,0.05,0.25,6.7,10,235.621,7303.63
12/31/2013,3.007,17083.137,11475.123,92.2,0.07,0.25,6.9,7.3,234.163,7173.97
9/30/2013,2.6161,16848.748,11330.946,90.9,0.02,0.25,7.2,14.9,233.3,6491.52
6/28/2013,2.4792,16637.926,11239.592,89.933,0.04,0.25,7.5,4.4,232.045,6168.01
3/29/2013,1.8509,16569.591,11223.18,89.233,0.07,0.25,7.7,-1.6,232.299,5993.59
12/31/2012,1.75,16358.863,11125.711,88.433,0.05,0.25,7.8,-3.1,231.369,5418.89
9/28/2012,1.636,16257.151,11014.245,88.1,0.1,0.25,8,-5,229.841,5439.41
6/29/2012,1.658,16152.257,10964.858,88.2,0.09,0.25,8.2,-2.6,228.808,5114.55
3/30/2012,2.218,16019.758,10922.442,88.033,0.07,0.25,8.3,8.9,228.326,5259.27
12/30/2011,1.875,15796.46,10761.586,87,0.02,0.25,8.6,4.2,227.047,4671.31
9/30/2011,1.928,15591.85,10705.367,86.667,0.02,0.25,9,-7.7,226.033,4177.66
6/30/2011,3.157,15496.189,10612.125,86.6,0.03,0.25,9.1,6.2,224.568,4850.31
3/31/2011,3.453,15285.828,10485.358,85.4,0.09,0.25,9,27.3,222.044,4845.5
12/31/2010,3.308,15240.843,10350.484,83.8,0.12,0.25,9.5,11.6,219.699,4574.71
9/30/2010,2.5047,15079.917,10220.606,82.6,0.16,0.25,9.5,5.3,217.934,4130.41
6/30/2010,2.9366,14926.098,10131.767,82.1,0.18,0.25,9.6,17.7,217.297,3711.26
3/31/2010,3.8294,14721.35,10040.485,80.6,0.16,0.25,9.8,13.7,217.374,4189.97
12/31/2009,3.8353,14628.021,9957.092,78.9,0.06,0.25,9.9,14.9,217.03,3975.82
9/30/2009,3.3047,14420.312,9895.401,77,0.14,0.25,9.6,5.8,215.344,3749.41
6/30/2009,3.5196,14352.85,9760.216,75.267,0.19,0.25,9.3,-15.8,213.507,3243.26
3/31/2009,2.6873,14394.547,9756.126,75.967,0.21,0.25,8.3,-35,212.378,2797.63
12/31/2008,2.2512,14559.543,9837.261,81.133,0.11,0.25,6.9,-38.8,213.849,3143.82
9/30/2008,3.8237,14835.187,10080.964,88.033,0.9,2,6,-10.6,218.861,4027.61
6/30/2008,3.9762,14805.611,10052.843,92.167,1.87,2,5.3,-18.1,215.538,4395.51
3/31/2008,3.4306,14651.039,9934.253,94.767,1.36,2.25,5,-17.8,212.77,4518.73
12/31/2007,4.0342,14681.501,9877.752,97.967,3.29,4.25,4.8,3,210.49,4990.02
9/28/2007,4.5767,14535.003,9753.799,100.1,3.72,4.75,4.7,4.6,207.939,5162
6/29/2007,5.0327,14382.363,9644.74,101.067,4.68,5.25,4.5,8,206.631,5059.29
3/30/2007,4.652,14208.569,9549.431,101.2,4.9,5.25,4.5,4.6,204.317,4760.42
12/29/2006,4.71,14037.228,9407.453,101.233,4.89,5.25,4.4,1.7,202.333,4730.14
